id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"341","fangen","Verb","","","to catch","fahng-en","Freizeit, Hobbys & Unterhaltung","werfen","Das Kind hat den Ball gefangen. Unsere Katze hat eine Maus gefangen.","The child caught the ball. Our cat caught a mouse."
"342","die Fantasie / Phantasie","Nomen","die","die Fantasien","imagination / fantasy","fahn-tah-zee","Gefühle, Charakter & Meinung","die Realität","Mein Sohn malt sehr gut. Er hat viel Fantasie.","My son paints very well. He has a lot of imagination."
"343","farbig","Adjektiv","","","colored / colorful","fahr-bikh","Eigenschaften & Adjektive","farblos","Ich brauche kein weißes, sondern farbiges Papier.","I do not need white, but colored paper."
"344","das Faschierte","Nomen","das","","minced meat (Austrian German)","fah-sheer-teh","Essen, Kochen & Restaurant","","Geben Sie mir bitte 500 g Faschiertes.","Please give me 500 g minced meat."
"345","der Fasching","Nomen","der","","carnival (Southern German / Austrian)","fah-shing","Freizeit, Hobbys & Unterhaltung","","Dort hängt mein Kostüm für den Faschings(um)zug.","There hangs my costume for the carnival parade."
"346","die Fasnacht","Nomen","die","die FasnachtA:","carnival (Swiss German)","fahs-nahkht","Freizeit, Hobbys & Unterhaltung","","Dort hängt mein Kostüm für den Fasnachtsumzug.","There hangs my costume for the carnival parade."
"347","faulenzen","Verb","","","to laze / to idle","fow-lent-sen","Freizeit, Hobbys & Unterhaltung","arbeiten","Am Wochenende können wir faulenzen.","On the weekend we can laze around."
"348","der Fauteuil (A, CH)","Nomen","der","die Fauteuils","armchair","fo-tooy","Wohnen, Haus & Haushalt","","Ich hätte gern einen bequemen Fauteuil.","I would like a comfortable armchair."
"349","das Feld","Nomen","das","die Felder","field","felt","Natur, Umwelt & Tiere","","Auf diesem Feld wächst Gemüse.","Vegetables grow in this field."
"350","die Fernbedienung","Nomen","die","die Fernbedienungen","remote control","fairn-beh-dee-noong","Wohnen, Haus & Haushalt","","Hast du die Fernbedienung gesehen?","Have you seen the remote control?"
"351","das Fernsehen","Nomen","das","","television (medium)","fairn-zay-en","Freizeit, Hobbys & Unterhaltung","","Was gibt es heute Abend im Fernsehen?","What is on television tonight?"
"352","fest","Adjektiv","","","firm / fixed / solid","fest","Eigenschaften & Adjektive","locker","Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt. Als wir nach Hause kamen, haben die Kinder schon fest geschlafen. Für die nächste Familienfeier gibt es noch keinen festen Termin.","My colleague firmly believes that he will get the new job. When we came home, the children were already fast asleep. There is no fixed date yet for the next family celebration."
"353","festnehmen","Verb","","","to arrest / to detain","fest-nay-men","Staat, Gesellschaft & Dokumente","freilassen","Die Polizei hat einen Mann festgenommen.","The police arrested a man."
"354","die Festplatte","Nomen","die","die Festplatten","hard drive","fest-plaht-teh","Kommunikation, Medien & Sprache","","Mein Computer hat eine große Festplatte.","My computer has a large hard drive."
"355","das Fett","Nomen","das","","fat / grease","fet","Essen, Kochen & Restaurant","","Man soll nicht so viel Fett essen.","One should not eat so much fat."
"356","feucht","Adjektiv","","","damp / moist / wet","foykht","Eigenschaften & Adjektive","trocken","Die Wäsche ist noch feucht. Es ist heute feucht draußen.","The laundry is still damp. It is damp outside today."
"357","die Feuerwehr","Nomen","die","die Feuerwehren","fire department / fire brigade","foy-er-vayr","Staat, Gesellschaft & Dokumente","","Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.","Quick! Call the fire department! The number is: 112."
"358","das Feuerzeug","Nomen","das","die Feuerzeuge","lighter","foy-er-tsoyk","Basiswortschatz & Floskeln","","Ist das Feuerzeug neu?","Is the lighter new?"
"359","die Figur","Nomen","die","die Figuren","figure / shape","fee-goor","Gesundheit, Körper & Pflege","","Lars hat eine gute Figur. Bei diesem Spiel hat jeder Spieler vier Figuren.","Lars has a good figure. In this game, each player has four figures."
"360","finanziell","Adjektiv","","","financial / financially","fee-nahn-tsyel","Einkaufen, Geld & Konsum","","Finanziell geht es meinem Neffen jetzt besser.","Financially, my nephew is doing better now."
"361","der Finger","Nomen","der","die Finger","finger","fing-er","Gesundheit, Körper & Pflege","","Alessandro hat sich in den Finger geschnitten.","Alessandro cut his finger."
"362","flach","Adjektiv","","","flat / shallow","flahkh","Eigenschaften & Adjektive","steil","Für die Arbeit brauche ich flache Schuhe. An dieser Stelle ist der See sehr flach.","For work I need flat shoes. At this spot, the lake is very shallow."
"363","der Fleck","Nomen","der","die Flecken","spot / stain","flek","Basiswortschatz & Floskeln","","Du hast einen Fleck auf der Bluse.","You have a stain on the blouse."
"364","der Fleischhauer","Nomen","der","die Fleischhauer","butcher (Austrian German)","flysh-how-er","Arbeit, Beruf & Karriere","","Dieser Fleischhauer macht sehr gute Wurst.","This butcher makes very good sausage."
"365","fließen","Verb","","","to flow","flee-sen","Natur, Umwelt & Tiere","","Dieser Fluss fließt in die Nordsee.","This river flows into the North Sea."
"366","fließend","Adjektiv","","","fluent / fluently","flee-sent","Kommunikation, Medien & Sprache","stockend","Mein Kollege spricht fließend Deutsch. Zimmer mit fließendem Wasser.","My colleague speaks fluent German. Room with running water."
"367","die Flucht","Nomen","die","","escape / flight","flookht","Staat, Gesellschaft & Dokumente","","Der Einbrecher war schon auf der Flucht.","The burglar was already on the run."
"368","der Flur","Nomen","der","die Flure","hallway / corridor","floor","Wohnen, Haus & Haushalt","","Wir warten draußen im Flur.","We are waiting outside in the hallway."
"369","die Fläche","Nomen","die","die Flächen","area / surface","fleh-kheh","Zahlen, Maße & Mengen","","Unsere Wohnung hat eine Wohnfläche von 100 m².","Our apartment has a living area of 100 m²."
"370","die Flöte","Nomen","die","die Flöten","flute","flur-teh","Freizeit, Hobbys & Unterhaltung","","Sie spielt sehr schön Flöte.","She plays the flute very beautifully."
"371","die Flüssigkeit","Nomen","die","die Flüssigkeiten","liquid / fluid","flues-sig-kyte","Gesundheit, Körper & Pflege","","Dieses Medikament mit viel Flüssigkeit einnehmen.","Take this medication with plenty of liquid."
"372","die Folge","Nomen","die","die Folgen","consequence / result / episode","fol-geh","Basiswortschatz & Floskeln","die Ursache","Die Folgen des Unfalls waren schlimm.","The consequences of the accident were bad."
"373","folgend / fordern","Andere","","","to demand","fol-gent / for-dern","Allgemeine Aktivitäten & Verben","","Mehr Informationen auf den folgenden Seiten. Das Geschäft hat folgende Angebote: ... Die Arbeitnehmer fordern mehr Geld.","More information on the following pages. The shop has the following offers: ... The employees demand more money."
"374","die Forderung","Nomen","die","die Forderungen","demand / claim","for-de-roong","Arbeit, Beruf & Karriere","","Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.","All demands of the employees can be read in this e-mail."
"375","die Form","Nomen","die","die Formen","shape / form","form","Basiswortschatz & Floskeln","","Diese Schuhe haben eine schöne Form. Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?","These shoes have a beautiful shape. I would like to bake a cake for the birthday. Can you lend me a baking tin?"
"376","die Forschung","Nomen","die","die Forschungen","research","for-shoong","Arbeit, Beruf & Karriere","","Er arbeitet in der Forschung.","He works in research."
"377","die Fortbildung","Nomen","die","die Fortbildungen","further education / advanced training","fort-bil-doong","Arbeit, Beruf & Karriere","","Die Fortbildung, die ich machen will, ist sehr teuer.","The further education that I want to do is very expensive."
"378","der Fortschritt","Nomen","der","die Fortschritte","progress","fort-shrit","Ausbildung, Schule & Studium","der Rückschritt","Ich habe beim Deutschlernen große Fortschritte gemacht.","I have made great progress in learning German."
"379","die Fortsetzung","Nomen","die","die Fortsetzungen","continuation","fort-zet-tsoong","Basiswortschatz & Floskeln","","Fortsetzung folgt.","To be continued."
"380","das Forum","Nomen","das","die Foren","forum","fo-room","Kommunikation, Medien & Sprache","","Ich melde mich heute bei diesem Forum an.","I am registering for this forum today."
"381","der Fotoapparat","Nomen","der","die Fotoapparate","camera","fo-to-ah-pah-raht","Freizeit, Hobbys & Unterhaltung","","Ich möchte mir einen Fotoapparat kaufen.","I would like to buy a camera."
"382","der Fotograf","Nomen","der","die Fotografen","photographer","fo-to-grahf","Arbeit, Beruf & Karriere","","Die Fotografin hat sehr schöne Fotos gemacht.","The photographer took very beautiful photos."
"383","die Fotografie","Nomen","die","die Fotografien","photography","fo-to-grah-fee","Freizeit, Hobbys & Unterhaltung","","Ich interessiere mich für Fotografie.","I am interested in photography."
"384","frech","Adjektiv","","","naughty / cheeky / insolent","frekh","Gefühle, Charakter & Meinung","brav","Du darfst in der Schule nicht so frech sein.","You must not be so cheeky in school."
"385","die Freiheit","Nomen","die","die Freiheiten","freedom / liberty","fry-hyte","Staat, Gesellschaft & Dokumente","die Gefangenschaft","Wir wollen die Freiheit haben, unsere Meinung sagen zu können.","We want to have the freedom to be able to say our opinion."
"386","freiwillig","Andere","","","voluntary / voluntarily","fry-vil-likh","Arbeit, Beruf & Karriere","gezwungen","Manchmal bleibe ich freiwillig länger im Büro.","Sometimes I voluntarily stay longer in the office."
"387","die Fremdsprache","Nomen","die","die Fremdsprachen","foreign language","fremt-shprah-khuh","Ausbildung, Schule & Studium","die Muttersprache","Ich spreche drei Fremdsprachen.","I speak three foreign languages."
"388","fressen","Verb","","","to eat (for animals) / to feed","fres-sen","Natur, Umwelt & Tiere","","Hat der Hund schon etwas zu fressen bekommen?","Has the dog already gotten something to eat?"
"389","die Freude","Nomen","die","die Freuden","joy / pleasure","froy-deh","Gefühle, Charakter & Meinung","die Trauer","Diese Arbeit macht mir viel Freude.","This work gives me a lot of joy."
"390","die Freundschaft","Nomen","die","die Freundschaften","friendship","froynt-shahft","Person, Familie & Beziehungen","die Feindschaft","Deine Freundschaft ist mir sehr wichtig.","Your friendship is very important to me."
"391","der Friede","Nomen","der","die Frieden","peace","free-deh","Staat, Gesellschaft & Dokumente","der Krieg","Endlich ist hier Frieden!","Finally there is peace here!"
"392","der Friseur","Nomen","der","die Friseure","hairdresser / barber (male)","free-zoer","Arbeit, Beruf & Karriere","","Du siehst toll aus! Wer ist dein Friseur?","You look great! Who is your hairdresser?"
"393","die Friseurin","Nomen","die","die Friseurinnen","hairdresser (female)","free-zoe-rin","Arbeit, Beruf & Karriere","","Meine Tochter will Friseurin werden.","My daughter wants to become a hairdresser."
"394","die Frist","Nomen","die","die Fristen","deadline / period / time limit","frist","Staat, Gesellschaft & Dokumente","","Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.","The deadline for registering for the German course has expired."
"395","die Frisur","Nomen","die","die Frisuren","hairstyle / haircut","free-zoor","Gesundheit, Körper & Pflege","","Du hast eine tolle Frisur! Warst du beim Friseur?","You have a great hairstyle! Were you at the hairdresser?"
"396","die Frucht","Nomen","die","die Früchte","fruit","frookht","Essen, Kochen & Restaurant","","Welche Früchte kann man essen?","Which fruits can one eat?"
"397","fröhlich","Adjektiv","","","cheerful / happy / joyful","froe-likh","Gefühle, Charakter & Meinung","traurig","Die Musik klingt fröhlich. Sie ist ein fröhlicher Mensch.","The music sounds cheerful. She is a cheerful person."
"398","das Fundbüro","Nomen","das","die Fundbüros","lost and found","foont-bue-ro","Staat, Gesellschaft & Dokumente","","Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.","You have lost your umbrella. It is best to ask at the lost and found."
"399","der Fußgänger","Nomen","der","die Fußgänger","pedestrian","foos-geng-er","Reise, Verkehr & Mobilität","der Autofahrer","Dieser Weg ist nur für Fußgänger.","This path is only for pedestrians."
"400","die Fußgängerzone","Nomen","die","die Fußgängerzonen","pedestrian zone","foos-geng-er-tso-neh","Reise, Verkehr & Mobilität","","Wir treffen uns um 15 Uhr in der Fußgängerzone.","We are meeting at 3 pm in the pedestrian zone."
"401","die Fähigkeit","Nomen","die","die Fähigkeiten","ability / skill","fay-ig-kyte","Arbeit, Beruf & Karriere","die Unfähigkeit","In seiner Position braucht man die Fähigkeit, andere zu überzeugen. Ich glaube, sie hat die Fähigkeit dazu.","In his position one needs the ability to convince others. I believe she has the ability for that."
"402","die Fähre","Nomen","die","die Fähren","ferry","fay-reh","Reise, Verkehr & Mobilität","","Wir nehmen die Fähre über den Bodensee.","We are taking the ferry across Lake Constance."
"403","fällig","Adjektiv","","","due / payable","fel-likh","Einkaufen, Geld & Konsum","","Die Rechnung ist Ende des Monats fällig.","The bill is due at the end of the month."
"404","die Förderung","Nomen","die","die Förderungen","funding / support / sponsorship","fur-de-roong","Staat, Gesellschaft & Dokumente","","Für das Projekt bekommen wir eine Förderung von der Stadt.","For the project we receive funding from the city."
"405","der Führerausweis (CH)","Nomen","der","die Führerausweise","driver's license (Swiss German)","fue-rer-ows-vys","Reise, Verkehr & Mobilität","","Hast du einen Führerausweis?","Do you have a driver's license?"
"406","die Galerie","Nomen","die","die Galerien","gallery","gah-leh-ree","Freizeit, Hobbys & Unterhaltung","","Diese Galerie ist sehr interessant.","This gallery is very interesting."
"407","der Gang","Nomen","der","die Gänge","corridor / aisle / gear","gahng","Reise, Verkehr & Mobilität","","Wir warten draußen im Gang. Schalten Sie bitte jetzt in den dritten Gang. Was möchten Sie als ersten Gang? Suppe oder Salat?","We are waiting outside in the corridor. Please shift into third gear now. What would you like as a first course? Soup or salad?"
"408","ganz","Andere","","","whole / entire / quite","gahnts","Basiswortschatz & Floskeln","halb","Ich habe den ganzen Tag noch nichts gegessen. Den Zahnarzttermin habe ich ganz vergessen. Ich finde Janis ganz nett. Am Montag ist hier Ruhetag. Das weiß ich ganz sicher. Gott sei Dank ist meine Brille noch ganz.","I have not eaten anything the whole day. I completely forgot the dentist appointment. I find Janis quite nice. Monday is a closing day here. I know that for sure. Thank God my glasses are still unbroken."
"409","gar","Andere","","","done (cooked) / at all","gahr","Basiswortschatz & Floskeln","roh","Die Kartoffeln sind noch nicht gar. Du räumst nie dein Zimmer auf. – Das ist gar nicht wahr.","The potatoes are not done yet. You never clean up your room. - That is not true at all."
"410","die Garantie","Nomen","die","die Garantien","guarantee / warranty","gah-rahn-tee","Einkaufen, Geld & Konsum","","Auf die Waschmaschine haben Sie ein Jahr Garantie.","You have a one-year warranty on the washing machine."
"411","die Garderobe","Nomen","die","die Garderoben","cloakroom / wardrobe","gahr-deh-ro-beh","Wohnen, Haus & Haushalt","","Die Mäntel bitte an der Garderobe abgeben. Bitte, achten Sie auf Ihre Garderobe.","Please leave coats at the cloakroom. Please pay attention to your wardrobe."
"412","das Gasthaus","Nomen","das","die Gasthäuser","inn / pub","gahst-hows","Essen, Kochen & Restaurant","","Gehen wir noch in ein Gasthaus ein Bier trinken?","Shall we go to a pub to drink a beer?"
"413","die Gaststätte","Nomen","die","die Gaststätten","restaurant / inn / pub","gahst-shtet-teh","Essen, Kochen & Restaurant","","Ich arbeite seit einem Monat in einer Gaststätte.","I have been working in a restaurant for a month."
"414","das Gebiet","Nomen","das","die Gebiete","area / region / territory","geh-beet","Natur, Umwelt & Tiere","","In diesem Gebiet gibt es kaum Industrie. Die Zeitschrift berichtet regelmäßig über Fortschritte auf dem Gebiet der Medizin.","There is hardly any industry in this area. The magazine regularly reports on progress in the field of medicine."
"415","das Gebirge","Nomen","das","","mountains / mountain range","geh-beer-geh","Natur, Umwelt & Tiere","das Tal","Wir haben unseren Urlaub im Gebirge verbracht.","We spent our vacation in the mountains."
"416","geboren werden","Verb","","","to be born","geh-bo-ren vair-den","Person, Familie & Beziehungen","sterben","Wann und wo sind Sie geboren?","When and where were you born?"
"417","die Gebrauchsanweisung","Nomen","die","die Gebrauchsanweisungen","instruction manual","geh-browkhs-ahn-vy-zoong","Wohnen, Haus & Haushalt","","Lesen Sie bitte zuerst die Gebrauchsanweisung.","Please read the instruction manual first."
"418","die Geburt","Nomen","die","die Geburten","birth","geh-boort","Person, Familie & Beziehungen","der Tod","Wir gratulieren zur Geburt eures Kindes!","We congratulate you on the birth of your child!"
"419","das Gebäck","Nomen","das","","baked goods / pastry","geh-bek","Essen, Kochen & Restaurant","","Das Gebäck ist ganz frisch.","The pastry is quite fresh."
"420","das Gebäude","Nomen","das","die Gebäude","building","geh-boy-deh","Wohnen, Haus & Haushalt","","In diesem Gebäude sind nur Büros.","In this building there are only offices."
"421","die Gebühr","Nomen","die","die Gebühren","fee / charge","geh-buer","Einkaufen, Geld & Konsum","","Die Gebühr liegt bei 60 Euro.","The fee is 60 euros."
"422","der Gedanke","Nomen","der","die Gedanken","thought","ge-dahn-keh","Gefühle, Charakter & Meinung","","Ich muss zuerst meine Gedanken sammeln. Dein Hinweis bringt mich auf einen Gedanken.","I must first gather my thoughts. Your hint gives me an idea."
"423","das Gedicht","Nomen","das","die Gedichte","poem","geh-dikht","Kommunikation, Medien & Sprache","","Kennst du ein schönes Gedicht?","Do you know a beautiful poem?"
"424","die Geduld","Nomen","die","","patience","geh-doolt","Gefühle, Charakter & Meinung","die Ungeduld","Bitte haben Sie etwas Geduld.","Please have some patience."
"425","das Geheimnis","Nomen","das","die Geheimnisse","secret","geh-hyme-nis","Person, Familie & Beziehungen","","Das kann ich dir nicht sagen. Das ist ein Geheimnis.","I cannot tell you that. That is a secret."
"426","der Gehsteig","Nomen","der","die Gehsteige","pavement / sidewalk","geh-shtyg","Reise, Verkehr & Mobilität","die Fahrbahn","Das Fahrradfahren auf dem Gehsteig ist nicht erlaubt.","Riding a bicycle on the sidewalk is not allowed."
"427","der Geldautomat","Nomen","der","die Geldautomaten","ATM / cash machine","gelt-ow-to-maht","Einkaufen, Geld & Konsum","","Ich hole noch Geld vom Geldautomaten.","I am getting some money from the ATM."
"428","gelebt","Andere","","","to live","ge-lehpt","Allgemeine Aktivitäten & Verben","gestorben","Leben Ihre Großeltern noch? Herr Müller hat lange im Ausland gelebt. Von der Rente allein kann meine Tante nicht leben. Ich lebe noch bei meinen Eltern.","Are your grandparents still living? Mr. Müller lived abroad for a long time. My aunt cannot live on the pension alone. I still live with my parents."
"429","gelegt","Andere","","","to lay / to put / to place","ge-lehkt","Allgemeine Aktivitäten & Verben","genommen","Ich habe Ihnen die Briefe auf den Schreibtisch gelegt. Legen Sie die Zeitungen bitte dort ins Regal.","I have laid the letters on your desk. Please put the newspapers there on the shelf."
"430","gelernt","Andere","","","to learn","ge-lairnt","Ausbildung, Schule & Studium","","Wie lange lernen Sie schon Deutsch?","How long have you been learning German?"
"431","gemeinsam","Andere","","","together / common","ge-myne-zahm","Person, Familie & Beziehungen","einsam","Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen. Wir benutzen die Garage gemeinsam mit dem Nachbarn.","You have to renovate the apartment? I will help you. We can do that together. We use the garage together with the neighbor."
"432","die Gemeinschaft","Nomen","die","die Gemeinschaften","community","ge-myne-shahft","Staat, Gesellschaft & Dokumente","","Rauchen ist in den Gemeinschaftsräumen nicht erlaubt.","Smoking is not allowed in the common rooms."
"433","gemütlich","Adjektiv","","","cozy / comfortable","ge-muet-likh","Wohnen, Haus & Haushalt","ungemütlich","Wir haben eine sehr gemütliche Wohnung. Es ist sehr gemütlich bei dir.","We have a very cozy apartment. It is very cozy at your place."
"434","genau","Adjektiv","","","exact / exactly","ge-now","Eigenschaften & Adjektive","ungenau","Haben Sie die genaue Zeit? Sind Sie sicher, dass heute Ruhetag ist? – Ja, das weiß ich genau. Die Uhr geht genau. Es ist genau acht Uhr.","Do you have the exact time? Are you sure that today is a closing day? - Yes, I know that for sure. The clock is exactly right. It is exactly eight o'clock."
"435","genehmigen","Verb","","","to approve / to permit","geh-nay-mee-gen","Staat, Gesellschaft & Dokumente","ablehnen","Mein Chef hat mir sechs Wochen Urlaub genehmigt.","My boss approved six weeks of vacation for me."
"436","die Generation","Nomen","die","die Generationen","generation","geh-neh-rah-tsee-ohn","Person, Familie & Beziehungen","","In diesem Haus wohnen drei Generationen zusammen.","Three generations live together in this house."
"437","genügen","Verb","","","to be enough / to suffice","geh-nue-gen","Allgemeine Aktivitäten & Verben","fehlen","Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer-Wohnung.","How many rooms do you need? - A 2-room apartment is enough for me."
"438","gerecht","Adjektiv","","","fair / just","geh-rekht","Eigenschaften & Adjektive","ungerecht","Lass uns den Kuchen gerecht verteilen.","Let us distribute the cake fairly."
"439","gering","Adjektiv","","","low / slight / small","geh-ring","Eigenschaften & Adjektive","hoch","Unsere Mannschaft hatte nur eine geringe Chance. Wenn Sie ein geringes Einkommen haben, zahlen Sie nur wenig Steuern.","Our team only had a small chance. If you have a low income, you pay only little taxes."
"440","geschieden","Adjektiv","","","divorced","geh-shee-den","Person, Familie & Beziehungen","verheiratet","Ich bin seit drei Jahren geschieden.","I have been divorced for three years."
"441","geschieden","Adjektiv","","","divorced","ge-shee-den","Person, Familie & Beziehungen","verheiratet / ledig","Meine Kollegin ist geschieden.","My colleague is divorced."
"442","das Geschlecht","Nomen","das","die Geschlechter","gender / sex","geh-shlekht","Staat, Gesellschaft & Dokumente","","Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.","Please check: 'Gender: female/male'."
"443","der Geschmack","Nomen","der","die Geschmäcker","taste / flavor","geh-shmahk","Essen, Kochen & Restaurant","","Ich möchte bitte Kaugummi mit Erdbeergeschmack.","I would like chewing gum with strawberry flavor, please."
"444","die Geschwindigkeit","Nomen","die","die Geschwindigkeiten","speed / velocity","geh-shvin-dig-kyte","Reise, Verkehr & Mobilität","","Das Auto fuhr mit zu hoher Geschwindigkeit.","The car was driving at too high a speed."
"445","die Geschwindigkeitsbeschränkung","Nomen","die","die Geschwindigkeitsbeschränkungen","speed limit","ge-shvin-dig-kyts-be-shren-koong","Reise, Verkehr & Mobilität","","Bitte beachten Sie die Geschwindigkeitsbeschränkungen.","Please observe the speed limits."
"446","die Gesellschaft","Nomen","die","die Gesellschaften","society / company","ge-zel-shahft","Staat, Gesellschaft & Dokumente","","Er will die Gesellschaft verändern.","He wants to change society."
"447","das Gesetz","Nomen","das","die Gesetze","law","ge-zets","Staat, Gesellschaft & Dokumente","","Das Parlament hat ein neues Gesetz beschlossen.","Parliament has passed a new law."
"448","gespannt","Adjektiv","","","curious / excited / tense","geh-shpahnnt","Gefühle, Charakter & Meinung","gelangweilt","Ich bin gespannt, wer bei diesem Spiel gewinnt.","I am curious to see who will win this game."
"449","getrennt leben","Verb","","","to live separated","guh-trent lay-ben","Person, Familie & Beziehungen","zusammenleben","Ich lebe getrennt von meiner Frau.","I live separated from my wife."
"450","die Gewalt","Nomen","die","die Gewalten","violence / force","geh-vahlt","Staat, Gesellschaft & Dokumente","der Frieden","Die Tür ließ sich nur mit Gewalt öffnen.","The door could only be opened with force."
"451","die Gewerkschaft","Nomen","die","die Gewerkschaften","labor union / trade union","geh-vairk-shahft","Arbeit, Beruf & Karriere","der Arbeitgeberverband","Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.","The labor union represents the interests of the employees."
"452","der Gewinn","Nomen","der","die Gewinne","profit / prize / win","geh-vin","Freizeit, Hobbys & Unterhaltung","der Verlust","Der Hauptgewinn ist ein Auto.","The main prize is a car."
"453","das Gewissen","Nomen","das","","conscience","geh-vis-sen","Gefühle, Charakter & Meinung","","Ich habe ein ganz schlechtes Gewissen.","I have a really guilty conscience."
"454","die Gewohnheit","Nomen","die","die Gewohnheiten","habit / custom","geh-vohn-hyte","Basiswortschatz & Floskeln","","Aus alter Gewohnheit treffen wir uns jeden Samstagabend.","Out of old habit, we meet every Saturday evening."
"455","gewohnt","Adjektiv","","","used to / accustomed","geh-vohnt","Basiswortschatz & Floskeln","ungewohnt","Ich bin gewohnt, früh ins Bett zu gehen.","I am used to going to bed early."
"456","gewöhnlich","Adjektiv","","","usual / usually / ordinary","geh-voen-likh","Eigenschaften & Adjektive","ungewöhnlich","Um die Zeit ist er gewöhnlich zu Hause.","At this time he is usually at home."
"457","das Gewürz","Nomen","das","die Gewürze","spice / seasoning","geh-vuerts","Essen, Kochen & Restaurant","","Von den scharfen Gewürzen bekommt man Durst.","You get thirsty from the spicy spices."
"458","das Gift","Nomen","das","die Gifte","poison / toxin","gift","Gesundheit, Körper & Pflege","das Gegengift","Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!","Careful, the poison of this plant is dangerous for humans!"
"459","giftig","Adjektiv","","","poisonous / toxic","gif-tikh","Gesundheit, Körper & Pflege","ungiftig","Vorsicht, das ist giftig!","Careful, that is poisonous!"
"460","das Girokonto","Nomen","das","die Girokonten","checking account","zhee-ro-kon-to","Einkaufen, Geld & Konsum","","Mein Girokonto kostet gar nichts.","My checking account costs nothing at all."
"461","die Glace / das Glacé (CH)","Nomen","die / das","die Glacen / die Glacén","ice cream (Swiss German)","glah-seh","Essen, Kochen & Restaurant","","Zum Dessert gibt es Schokoladenglace.","For dessert, there is chocolate ice cream."
"462","glatt","Adjektiv","","","slippery / smooth","glaht","Eigenschaften & Adjektive","rau","Fahr vorsichtig! Es ist glatt.","Drive carefully! It is slippery."
"463","gleichberechtigt","Adjektiv","","","equal (in rights)","glykh-be-rekh-tikt","Staat, Gesellschaft & Dokumente","benachteiligt","Mann und Frau sind gleichberechtigt.","Man and woman have equal rights."
"464","gleichfalls","Andere","","","likewise / the same to you","glykh-fahls","Basiswortschatz & Floskeln","","Schöne Feiertage! – Danke, gleichfalls.","Happy holidays! – Thank you, likewise."
"465","gleichzeitig","Andere","das","","simultaneous / at the same time","glykh-tsy-tikh","Basiswortschatz & Floskeln","nacheinander","Ich kann nicht alles gleichzeitig machen.","I cannot do everything at the same time."
"466","das Gold","Nomen","das","","gold","golt","Einkaufen, Geld & Konsum","","Ist der Ring aus Gold?","Is the ring made of gold?"
"467","der Gott","Nomen","der","die Götter","god","got","Basiswortschatz & Floskeln","","Glaubst du an Gott?","Do you believe in God?"
"468","die Grafik","Nomen","die","die Grafiken","graphic / chart / diagram","grah-fik","Ausbildung, Schule & Studium","","Die Grafik zeigt die Temperaturen im letzten Jahr.","The graphic shows the temperatures in the last year."
"469","das Gras","Nomen","das","","grass","grahs","Natur, Umwelt & Tiere","","Wir lagen den ganzen Tag im Gras.","We lay in the grass all day."
"470","greifen","Verb","","","to grab / to reach","gry-fen","Allgemeine Aktivitäten & Verben","","Greifen Sie doch zu!","Please, help yourself!"
"471","gratis","Adverb","","","free of charge / gratis","grah-tis","Einkaufen, Geld & Konsum","","Der Eintritt ist gratis.","The entry is free of charge."
"472","die Gratulation","Nomen","die","die Gratulationen","congratulation","grah-too-lah-tsee-ohn","Basiswortschatz & Floskeln","","Herzliche Gratulation! Sie haben gewonnen!","Heartfelt congratulations! You have won!"
"473","die Grenze","Nomen","die","die Grenzen","border / boundary","gren-tseh","Staat, Gesellschaft & Dokumente","","An der Grenze musst du deinen Ausweis zeigen.","At the border you must show your ID."
"474","der Grill","Nomen","der","","grill / barbecue","gril","Essen, Kochen & Restaurant","","Kannst du mir deinen Grill leihen? Wir wollen ein Picknick machen.","Can you lend me your grill? We want to have a picnic."
"475","der Grund","Nomen","der","die Gründe","reason / cause","groont","Basiswortschatz & Floskeln","","Sie haben keinen Grund, sich zu beschweren.","You have no reason to complain."
"476","das Grundstück","Nomen","das","die Grundstücke","plot of land / property","groont-shtuek","Wohnen, Haus & Haushalt","","Wir wollen ein Haus bauen und suchen ein günstiges Grundstück.","We want to build a house and are looking for a reasonably priced plot of land."
"477","gründlich","Adjektiv","","","thorough / thoroughly","gruent-likh","Eigenschaften & Adjektive","oberflächlich","Ich möchte die Wohnung gründlich reinigen, bevor der Besuch kommt.","I would like to clean the apartment thoroughly before the visitors arrive."
"478","die Gymnastik","Nomen","die","","gymnastics / exercise","guem-nahs-tik","Gesundheit, Körper & Pflege","","Ich mache jeden Morgen Gymnastik.","I do gymnastics every morning."
"479","das Hackfleisch","Nomen","das","","minced meat / ground meat","hahk-flysh","Essen, Kochen & Restaurant","","Geben Sie mir bitte 500g Hackfleisch.","Please give me 500g of minced meat."
