id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"177","der Familienname","Nomen","der","die Familiennamen","surname / family name","fah-mee-lee-en-nah-meh","Person, Familie & Beziehungen","der Vorname","Wie ist Ihr Familienname?","What is your surname?"
"178","der Familienstand","Nomen","der","","marital status","fah-mee-lee-en-shtahnt","Person, Familie & Beziehungen","","Bitte geben Sie Ihren Familienstand an.","Please state your marital status."
"179","die Farbe","Nomen","die","die Farben","color","far-beh","Basiswortschatz & Floskeln","","Welche Farbe magst du am liebsten?","Which color do you like best?"
"180","das Fax","Nomen","das","die Faxe","fax","facks","Kommunikation, Medien & Sprache","","Bitte schicken Sie mir ein Fax.","Please send me a fax."
"181","fehlen","Verb","","","to be missing / to lack","fey-len","Allgemeine Aktivitäten & Verben","da sein","In der Klasse fehlen heute zwei Kinder.","Two children are missing from the class today."
"182","der Fehler","Nomen","der","die Fehler","mistake / error","fey-ler","Ausbildung, Schule & Studium","die Korrektur","Im Text sind viele Fehler.","There are many mistakes in the text."
"183","feiern","Verb","","","to celebrate","fy-ern","Freizeit, Hobbys & Unterhaltung","","Wir feiern heute meinen Geburtstag.","Today we're celebrating my birthday."
"184","fernsehen","Verb","","","to watch TV","fairn-zey-en","Freizeit, Hobbys & Unterhaltung","","Am Abend sehe ich gern fern.","In the evening I like to watch TV."
"185","fertig","Adjektiv","","","finished / ready","fair-tikh","Eigenschaften & Adjektive","","Das Essen ist gleich fertig.","The food will be ready soon."
"186","das Feuer","Nomen","das","die Feuer","fire / light (for a cigarette)","foy-er","Basiswortschatz & Floskeln","","Haben Sie Feuer für meine Zigarette?","Do you have a light for my cigarette?"
"187","das Fieber","Nomen","das","","fever / temperature","fee-ber","Gesundheit, Körper & Pflege","","Das Kind hat hohes Fieber.","The child has a high fever."
"188","der Film","Nomen","der","die Filme","movie / film","film","Freizeit, Hobbys & Unterhaltung","","Der Film war wirklich spannend.","The movie was really exciting."
"189","finden","Verb","","","to find / to think (opinion)","fin-den","Gefühle, Charakter & Meinung","verlieren","Ich finde diese Idee sehr gut.","I think this idea is very good."
"190","die Firma","Nomen","die","die Firmen","company / firm","feer-mah","Arbeit, Beruf & Karriere","","Meine Firma ist in Berlin.","My company is in Berlin."
"191","der Fisch","Nomen","der","die Fische","fish","fish","Essen, Kochen & Restaurant","das Fleisch","Am Freitag essen wir oft Fisch.","On Fridays we often eat fish."
"192","die Flasche","Nomen","die","die Flaschen","bottle","flah-sheh","Essen, Kochen & Restaurant","","Gib mir bitte eine Flasche Wasser.","Please give me a bottle of water."
"193","das Fleisch","Nomen","das","","meat","flysh","Essen, Kochen & Restaurant","das Gemüse","Ich esse kein Fleisch.","I don't eat meat."
"194","fliegen","Verb","","","to fly","flee-gen","Reise, Verkehr & Mobilität","","Im Winter fliegen wir nach Spanien.","In winter we fly to Spain."
"195","der Flughafen","Nomen","der","die Flughäfen","airport","flook-hah-fen","Reise, Verkehr & Mobilität","","Der Flughafen ist weit von der Stadt.","The airport is far from the city."
"196","das Flugzeug","Nomen","das","die Flugzeuge","airplane / plane","flook-tsoyk","Reise, Verkehr & Mobilität","","Das Flugzeug landet in einer Stunde.","The plane lands in an hour."
"197","das Formular","Nomen","das","die Formulare","form","for-moo-lahr","Staat, Gesellschaft & Dokumente","","Bitte unterschreiben Sie das Formular.","Please sign the form."
"198","das Foto","Nomen","das","die Fotos","photo / picture","foh-toh","Freizeit, Hobbys & Unterhaltung","","Ich mache ein Foto von dir.","I'm taking a photo of you."
"199","die Frage","Nomen","die","die Fragen","question","frah-geh","Kommunikation, Medien & Sprache","die Antwort","Ich habe eine Frage an Sie.","I have a question for you."
"200","fragen","Verb","","","to ask","frah-gen","Kommunikation, Medien & Sprache","antworten","Darf ich Sie etwas fragen?","May I ask you something?"
"201","die Frau","Nomen","die","die Frauen","woman / Mrs. / wife","frow","Person, Familie & Beziehungen","der Mann","Die Frau dort ist meine Lehrerin.","The woman over there is my teacher."
"202","frei","Adjektiv","","","free / available","fry","Eigenschaften & Adjektive","besetzt","Ist dieser Platz noch frei?","Is this seat still free?"
"203","die Freizeit","Nomen","die","","free time / leisure time","fry-tsite","Freizeit, Hobbys & Unterhaltung","die Arbeit","In meiner Freizeit spiele ich Gitarre.","In my free time I play guitar."
"204","fremd","Adjektiv","","","foreign / strange","fremt","Eigenschaften & Adjektive","bekannt","In dieser Stadt bin ich noch fremd.","I'm still a stranger in this city."
"205","der Freund","Nomen","der","die Freunde","friend (male) / boyfriend","froynt","Person, Familie & Beziehungen","","Mein Freund hilft mir beim Umzug.","My friend helps me with the move."
"206","früher","Andere","","","earlier / in the past","frue-her","Uhrzeit, Datum & Kalender","später","Früher habe ich in Italien gewohnt.","In the past I lived in Italy."
"207","das Frühstück","Nomen","das","die Frühstücke","breakfast","frue-shtuek","Essen, Kochen & Restaurant","das Abendessen","Das Frühstück gibt es ab sieben Uhr.","Breakfast is available from seven o'clock."
"208","frühstücken","Verb","","","to have breakfast","frue-shtue-ken","Essen, Kochen & Restaurant","","Am Sonntag frühstücken wir lange.","On Sunday we have a long breakfast."
"209","der Fuß","Nomen","der","die Füße","foot","foos","Gesundheit, Körper & Pflege","die Hand","Mein Fuß tut nach dem Spaziergang weh.","My foot hurts after the walk."
"210","der Fußball","Nomen","der","die Fußbälle","soccer / football","foos-bahl","Freizeit, Hobbys & Unterhaltung","","Die Jungen spielen Fußball im Park.","The boys play soccer in the park."
"211","die Führung","Nomen","die","die Führungen","guided tour / tour","fue-roong","Reise, Verkehr & Mobilität","","Um zehn Uhr beginnt eine Führung durch das Museum.","At ten o'clock a guided tour through the museum begins."
"212","für","Andere","","","for","fuer","Grammatik, Pronomen & Struktur","gegen","Dieses Geschenk ist für dich.","This present is for you."
"213","der Garten","Nomen","der","die Gärten","garden","gar-ten","Natur, Umwelt & Tiere","","Hinter dem Haus haben wir einen großen Garten.","Behind the house we have a big garden."
"214","der Gast","Nomen","der","die Gäste","guest","gahst","Basiswortschatz & Floskeln","der Gastgeber","Heute Abend kommen Gäste zu uns.","Tonight guests are coming to our place."
"215","geben","Verb","","","to give","gey-ben","Allgemeine Aktivitäten & Verben","nehmen","Kannst du mir bitte das Salz geben?","Can you please give me the salt?"
"216","geboren","Verb","","","to be born","ge-bo-ren","Person, Familie & Beziehungen","gestorben","Ich bin in Hamburg geboren.","I was born in Hamburg."
"217","das Geburtsjahr","Nomen","das","die Geburtsjahre","year of birth","ge-boorts-yahr","Person, Familie & Beziehungen","","Mein Geburtsjahr ist 1995.","My year of birth is 1995."
"218","der Geburtsort","Nomen","der","die Geburtsorte","place of birth","ge-boorts-ort","Person, Familie & Beziehungen","","Mein Geburtsort ist Wien.","My place of birth is Vienna."
"219","der Geburtstag","Nomen","der","die Geburtstage","birthday","ge-boorts-tahk","Person, Familie & Beziehungen","","Wann hast du Geburtstag?","When is your birthday?"
"220","gefallen","Verb","","","to please / to like","ge-fahl-len","Gefühle, Charakter & Meinung","missfallen","Die Stadt gefällt mir sehr gut.","I like the city very much."
"221","gegen","Präposition","","","against / around / for (a remedy)","gey-gen","Grammatik, Pronomen & Struktur","für","Wir treffen uns gegen acht Uhr.","We're meeting around eight o'clock."
"222","gehen","Verb","","","to go / to walk","gey-en","Allgemeine Aktivitäten & Verben","stehen","Ich gehe jetzt nach Hause.","I'm going home now."
"223","gehören","Verb","","","to belong to","ge-hur-en","Allgemeine Aktivitäten & Verben","","Wem gehört dieses Buch?","Whom does this book belong to?"
"224","das Geld","Nomen","das","","money","gelt","Einkaufen, Geld & Konsum","","Ich habe nicht genug Geld dabei.","I don't have enough money with me."
"225","das Gemüse","Nomen","das","","vegetables","ge-mue-zeh","Essen, Kochen & Restaurant","das Obst","Iss mehr Obst und Gemüse!","Eat more fruit and vegetables!"
"226","das Gepäck","Nomen","das","","luggage / baggage","ge-peck","Reise, Verkehr & Mobilität","","Mein Gepäck ist sehr schwer.","My luggage is very heavy."
"227","gerade","Adverb","","","just / exactly / currently","ge-rah-deh","Uhrzeit, Datum & Kalender","","Ich habe gerade keine Zeit.","I don't have time right now."
"228","geradeaus","Adverb","","","straight ahead","ge-rah-deh-ows","Reise, Verkehr & Mobilität","","Gehen Sie immer geradeaus.","Keep going straight ahead."
"229","das Geschenk","Nomen","das","die Geschenke","gift / present","ge-shenk","Basiswortschatz & Floskeln","","Ich suche ein Geschenk für meine Mutter.","I'm looking for a gift for my mother."
"230","geschlossen","Adjektiv","","","closed","ge-shlos-sen","Eigenschaften & Adjektive","geöffnet","Am Sonntag ist das Geschäft geschlossen.","On Sunday the shop is closed."
"231","die Geschwister","Nomen","die","","siblings","ge-shvis-ter","Person, Familie & Beziehungen","das Einzelkind","Hast du Geschwister?","Do you have siblings?"
"232","das Geschäft","Nomen","das","die Geschäfte","shop / store / business","ge-sheft","Einkaufen, Geld & Konsum","","Das Geschäft öffnet um neun Uhr.","The shop opens at nine o'clock."
"233","das Gespräch","Nomen","das","die Gespräche","conversation / talk","ge-shpraikh","Kommunikation, Medien & Sprache","","Wir hatten ein langes Gespräch.","We had a long conversation."
"234","gestern","Andere","","","yesterday","ges-tern","Uhrzeit, Datum & Kalender","heute","Gestern war ich im Kino.","Yesterday I was at the cinema."
"235","gestorben","Verb","","","to die / died","ge-shtor-ben","Person, Familie & Beziehungen","geboren","Sein Großvater ist letztes Jahr gestorben.","His grandfather died last year."
"236","das Getränk","Nomen","das","die Getränke","drink / beverage","ge-trenk","Essen, Kochen & Restaurant","die Speise","Möchtest du ein kaltes Getränk?","Would you like a cold drink?"
"237","das Gewicht","Nomen","das","die Gewichte","weight","ge-vikht","Zahlen, Maße & Mengen","","Das Paket hat ein hohes Gewicht.","The parcel has a high weight."
"238","gewinnen","Verb","","","to win","ge-vin-nen","Freizeit, Hobbys & Unterhaltung","verlieren","Ich hoffe, wir gewinnen das Spiel.","I hope we win the game."
"239","geöffnet","Adjektiv","","","open / opened","ge-urf-net","Eigenschaften & Adjektive","geschlossen","Die Apotheke ist bis acht Uhr geöffnet.","The pharmacy is open until eight o'clock."
"240","das Glas","Nomen","das","die Gläser","glass","glahs","Essen, Kochen & Restaurant","","Ich trinke ein Glas Milch.","I'm drinking a glass of milk."
"241","glauben","Verb","","","to believe / to think","glow-ben","Gefühle, Charakter & Meinung","wissen","Ich glaube, das ist richtig.","I believe that's correct."
"242","gleich","Adjektiv","","","same / equal / right away","glykh","Eigenschaften & Adjektive","anders","Ich komme gleich zurück.","I'll be right back."
"243","das Gleis","Nomen","das","die Gleise","track / platform","glyce","Reise, Verkehr & Mobilität","","Der Zug fährt von Gleis fünf.","The train departs from track five."
"244","das Glück","Nomen","das","","luck / happiness","gluek","Gefühle, Charakter & Meinung","das Pech","Viel Glück bei der Prüfung!","Good luck with the exam!"
"245","glücklich","Adjektiv","","","happy","gluek-likh","Gefühle, Charakter & Meinung","unglücklich","Heute bin ich sehr glücklich.","Today I'm very happy."
"246","der Glückwunsch","Nomen","der","die Glückwünsche","congratulation","gluek-voonsh","Gefühle, Charakter & Meinung","","Herzlichen Glückwunsch zum Geburtstag!","Happy birthday! (Heartfelt congratulations on your birthday!)"
"247","gratulieren","Verb","","","to congratulate","grah-too-lee-ren","Kommunikation, Medien & Sprache","","Ich gratuliere dir zur neuen Stelle.","I congratulate you on the new job."
"248","grillen","Verb","","","to grill / to barbecue","gril-len","Essen, Kochen & Restaurant","","Im Sommer grillen wir oft im Garten.","In summer we often barbecue in the garden."
"249","groß","Adjektiv","","","big / tall / large","grohs","Eigenschaften & Adjektive","klein","Das Haus ist sehr groß.","The house is very big."
"250","die Großeltern","Nomen","die","","grandparents","grohs-el-tern","Person, Familie & Beziehungen","die Enkel","Meine Großeltern besuchen uns am Wochenende.","My grandparents visit us on the weekend."
"251","die Großmutter","Nomen","die","die Großmütter","grandmother","grohs-moot-ter","Person, Familie & Beziehungen","der Großvater","Meine Großmutter heißt Eva.","My grandmother's name is Eva."
"252","der Großvater","Nomen","der","die Großväter","grandfather","grohs-fah-ter","Person, Familie & Beziehungen","die Großmutter","Mein Großvater ist schon 80.","My grandfather is already 80."
"253","die Gruppe","Nomen","die","die Gruppen","group","groop-peh","Basiswortschatz & Floskeln","","Die erste Gruppe beginnt um 16 Uhr.","The first group begins at 4 pm."
"254","der Gruß","Nomen","der","die Grüße","greeting","groos","Basiswortschatz & Floskeln","der Abschied","Viele Grüße an Ihre Frau. Mit freundlichen Grüßen","Many greetings to your wife. With kind regards"
"255","die Größe","Nomen","die","die Größen","size / height","grue-seh","Zahlen, Maße & Mengen","","Haben Sie das auch in Größe 40?","Do you also have that in size 40?"
"256","gut","Adjektiv","","","good","goot","Eigenschaften & Adjektive","schlecht","Das finde ich gut. Ich komme um 13 Uhr. - Gut! Guten Morgen! Ein gutes neues Jahr! Guten Appetit!","I find that good. I am coming at 1 pm. - Good! Good morning! A happy new year! Enjoy your meal!"
"257","gültig","Adjektiv","","","valid","guel-tikh","Eigenschaften & Adjektive","ungültig","Der Pass ist nicht mehr gültig.","The passport is no longer valid."
"258","günstig","Adjektiv","","","favorable / cheap","guen-stikh","Einkaufen, Geld & Konsum","teuer","Dort gibt es günstige Angebote.","There are favorable offers there."
"259","das Haar","Nomen","das","die Haare","hair","hahr","Gesundheit, Körper & Pflege","","Sie hat lange Haare.","She has long hair."
"260","haben","Verb","","","to have","hah-ben","Allgemeine Aktivitäten & Verben","","Ich habe ein neues Auto.","I have a new car."
"261","die Halbpension","Nomen","die","","half board","hahlp-pen-zyon","Reise, Verkehr & Mobilität","die Vollpension","Möchten Sie Vollpension oder Halbpension?","Would you like full board or half board?"
"262","die Halle","Nomen","die","die Hallen","hall","hahl-leh","Reise, Verkehr & Mobilität","","Wir treffen uns in Halle B.","We will meet in hall B."
"263","hallo","Andere","","","hello","hahl-lo","Basiswortschatz & Floskeln","tschüss","Hallo Inge! Wie geht's?","Hello Inge! How are you?"
"264","halten","Verb","","","to stop / to hold","hahl-ten","Reise, Verkehr & Mobilität","fahren","Dieser Zug hält nicht in Rüdesheim.","This train does not stop in Rüdesheim."
"265","die Haltestelle","Nomen","die","die Haltestellen","stop / bus stop / tram stop","hahl-teh-shtel-leh","Reise, Verkehr & Mobilität","","An der nächsten Haltestelle müssen Sie aussteigen.","You must get off at the next stop."
"266","die Hand","Nomen","die","die Hände","hand","hahnt","Gesundheit, Körper & Pflege","der Fuß","Er gibt mir die Hand.","He gives me his hand."
"267","das Handy","Nomen","das","die Handys","mobile phone / cell phone","hen-dee","Kommunikation, Medien & Sprache","","In der Schule bitte die Handys ausmachen!","Please turn off the mobile phones in school!"
"268","das Haus","Nomen","das","die Häuser","house","hows","Wohnen, Haus & Haushalt","","In welchem Haus wohnst du? Ich gehe jetzt nach Hause. Paul ist nicht zu Hause.","In which house do you live? I am going home now. Paul is not at home."
"269","die Hausaufgabe","Nomen","die","die Hausaufgaben","homework","hows-owf-gah-beh","Ausbildung, Schule & Studium","","Kannst du mir bei den Hausaufgaben helfen?","Can you help me with the homework?"
"270","die Hausfrau","Nomen","die","die Hausfrauen","housewife","hows-frow","Wohnen, Haus & Haushalt","der Hausmann","Die Hausfrau/der Hausmann wäscht, kocht und kauft ein.","The housewife/househusband washes, cooks and shops."
"271","der Hausmann","Nomen","der","die Hausmänner","househusband / homemaker","hows-mahn","Wohnen, Haus & Haushalt","die Hausfrau","Die Hausfrau/der Hausmann wäscht, kocht und kauft ein.","The housewife/househusband washes, cooks and shops."
"272","die Heimat","Nomen","die","","home / homeland","hy-maht","Person, Familie & Beziehungen","die Fremde","Ich komme aus der Schweiz. Das ist meine Heimat.","I come from Switzerland. That is my homeland."
"273","heiraten","Verb","","","to marry","hy-rah-ten","Person, Familie & Beziehungen","sich scheiden lassen","Meine Schwester heiratet einen Japaner.","My sister is marrying a Japanese man."
"274","heißen","Verb","","","to be called / to be named","hy-sen","Allgemeine Aktivitäten & Verben","","Ich heiße Charlotte Meier. Wie heißt das auf Deutsch?","My name is Charlotte Meier. What is that called in German?"
"275","helfen","Verb","","","to help","hel-fen","Allgemeine Aktivitäten & Verben","","Können Sie mir helfen, bitte?","Can you help me, please?"
"276","hell","Adjektiv","","","light / bright","hel","Eigenschaften & Adjektive","dunkel","Im Sommer ist es bis 21 Uhr hell.","In summer it is light until 9 pm."
"277","der Herd","Nomen","der","die Herde","stove / cooker","hairt","Wohnen, Haus & Haushalt","","In der neuen Küche fehlt noch der Herd.","The stove is still missing in the new kitchen."
"278","der Herr","Nomen","der","die Herren","Mr. / gentleman","hair","Basiswortschatz & Floskeln","die Dame","Guten Tag, Herr Sommer!","Good day, Mr. Sommer!"
"279","herzlich","Adjektiv","","","sincere / heartfelt / cordial / warm","hairts-likh","Basiswortschatz & Floskeln","","Herzlichen Glückwunsch!","Congratulations!"
"280","heute","Andere","","","today","hoy-teh","Uhrzeit, Datum & Kalender","gestern","Heute ist ein schöner Tag.","Today is a beautiful day."
"281","hier","Andere","","","here","heer","Basiswortschatz & Floskeln","dort","Hier ist 06131-553221, Pamela Linke. Hier wohne ich.","Here is 06131-553221, Pamela Linke. I live here."
"282","die Hilfe","Nomen","die","","help / assistance","hil-feh","Basiswortschatz & Floskeln","","Hilfe! Bitte helfen Sie mir! Brauchen Sie meine Hilfe?","Help! Please help me! Do you need my help?"
"283","hinten","Andere","","","in the back / behind","hin-ten","Basiswortschatz & Floskeln","vorn","Die Tür zum Aussteigen ist hinten.","The door for getting out is in the back."
"284","das Hobby","Nomen","das","die Hobbys","hobby","hob-bee","Freizeit, Hobbys & Unterhaltung","der Beruf","Meine Hobbys sind Wandern und Schwimmen.","My hobbies are hiking and swimming."
"285","hoch","Adjektiv","","","high / tall","hohkh","Eigenschaften & Adjektive","niedrig","Der Mount Everest ist 8.880 Meter hoch.","Mount Everest is 8,880 meters high."
"286","die Hochzeit","Nomen","die","die Hochzeiten","wedding","hokh-tsite","Person, Familie & Beziehungen","die Scheidung","Zur dieser Hochzeit kommen mehr als fünfzig Gäste.","More than fifty guests are coming to this wedding."
"287","holen","Verb","","","to fetch / to get","hoh-len","Allgemeine Aktivitäten & Verben","bringen","Ich hole zwei Flaschen Wasser aus der Küche.","I am fetching two bottles of water from the kitchen."
"288","das Hotel","Nomen","das","die Hotels","hotel","ho-tel","Reise, Verkehr & Mobilität","","Im Urlaub sind wir in einem Hotel am Meer.","On vacation we are in a hotel by the sea."
"289","der Hund","Nomen","der","die Hunde","dog","hoont","Natur, Umwelt & Tiere","die Katze","Der Hund ist noch jung.","The dog is still young."
"290","der Hunger","Nomen","der","","hunger","hoong-er","Essen, Kochen & Restaurant","der Durst","Ich habe Hunger! Wann ist das Essen fertig?","I am hungry! When is the food ready?"
"291","das Hähnchen","Nomen","das","die Hähnchen","chicken","hayn-khen","Essen, Kochen & Restaurant","","Ein Hähnchen mit Pommes bitte!","A chicken with fries, please!"
"292","hören","Verb","","","to hear / to listen","hur-ren","Allgemeine Aktivitäten & Verben","","Hör mal! Was ist das? Ich habe das Lied schon mal gehört.","Listen! What is that? I have heard the song before."
"293","ich","Andere","","","I","ikh","Grammatik, Pronomen & Struktur","","Ich heiße Veronika.","My name is Veronika."
"294","immer","Andere","","","always","im-mer","Uhrzeit, Datum & Kalender","nie","Frau Bast kommt immer zu spät.","Mrs. Bast always comes too late."
"295","in","Andere","","","in / into","in","Grammatik, Pronomen & Struktur","aus","Ich wohne in Wiesbaden. Der Zug kommt in fünf Minuten. Frau Rausch arbeitet in einem Geschäft. Komm, wir gehen ins Kino.","I live in Wiesbaden. The train comes in five minutes. Mrs. Rausch works in a shop. Come, we are going to the cinema."
"296","die Information","Nomen","die","die Informationen","information","in-for-mah-tsyon","Basiswortschatz & Floskeln","","Wenn Sie Fragen haben, gehen Sie zur Information. Wir haben hier wichtige Informationen für Sie.","If you have questions, go to the information desk. We have important information for you here."
"297","international","Adjektiv","","","international","in-ter-nah-tsyo-nahl","Eigenschaften & Adjektive","national","Unser Deutschkurs ist international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ...","Our German course is international: Silvana comes from Italy, Conchi from Spain, Yin from China ..."
"298","das Internet","Nomen","das","","internet","in-ter-net","Kommunikation, Medien & Sprache","","Das findest du im Internet.","You find that on the internet."
"299","ja","Andere","","","yes","yah","Basiswortschatz & Floskeln","nein","Sind Sie Herr Watanabe? - Ja.","Are you Mr. Watanabe? - Yes."
"300","die Jacke","Nomen","die","die Jacken","jacket","yah-keh","Einkaufen, Geld & Konsum","","Zieh dir eine Jacke an. Es ist kalt.","Put on a jacket. It is cold."
"301","jed-","Andere","","","every / each","yey-deh","Grammatik, Pronomen & Struktur","kein-","Blumen kannst du in jedem Bahnhof kaufen.","You can buy flowers in every station."
"302","jetzt","Andere","","","now","yetst","Uhrzeit, Datum & Kalender","später","Jetzt machen wir eine Pause.","Now we are taking a break."
"303","der Job","Nomen","der","die Jobs","job","job","Arbeit, Beruf & Karriere","","Jenny hat einen neuen Job bei der Post.","Jenny has a new job at the post office."
"304","der Jugendliche","Nomen","der","die Jugendlichen","youth / teenager","yoo-gent-likh-eh","Person, Familie & Beziehungen","der Erwachsene","Viele Jugendliche kaufen gern ein.","Many young people like to shop."
"305","jung","Adjektiv","","","young","yoong","Eigenschaften & Adjektive","alt","Claudia ist 21. - Was? Noch so jung?","Claudia is 21. - What? Still so young?"
"306","der Junge","Nomen","der","die Jungen","boy","yoong-eh","Person, Familie & Beziehungen","das Mädchen","Ich habe zwei Kinder. Einen Jungen und ein Mädchen.","I have two children. A boy and a girl."
"307","der Kaffee","Nomen","der","","coffee","kah-fey","Essen, Kochen & Restaurant","der Tee","Zum Frühstück trinke ich immer Kaffee.","For breakfast I always drink coffee."
"308","kaputt","Adjektiv","","","broken","kah-poot","Eigenschaften & Adjektive","ganz","Das Glas war teuer. Es geht sehr leicht kaputt.","The glass was expensive. It breaks very easily."
"309","die Karte","Nomen","die","die Karten","card / ticket / menu","kar-teh","Basiswortschatz & Floskeln","","Ich schreibe meinen Bekannten eine Karte aus dem Urlaub. Wollen wir Karten spielen? Ich möchte auch etwas essen. Bringen Sie mir die Karte, bitte.","I write my acquaintances a card from vacation. Do we want to play cards? I would also like to eat something. Bring me the menu, please."
"310","die Kartoffel","Nomen","die","die Kartoffeln","potato","kar-tof-fel","Essen, Kochen & Restaurant","","Für Pommes frites braucht man Kartoffeln.","For French fries you need potatoes."
"311","die Kasse","Nomen","die","die Kassen","cash register / checkout","kahs-seh","Einkaufen, Geld & Konsum","","Zahlen Sie bitte an der Kasse.","Please pay at the cash register."
"312","kaufen","Verb","","","to buy","kow-fen","Einkaufen, Geld & Konsum","verkaufen","Tim kauft sich ein neues Auto.","Tim buys himself a new car."
"313","kein","Andere","","","no / not a / none","kine","Grammatik, Pronomen & Struktur","ein","Es gibt keine Eintrittskarten mehr.","There are no admission tickets left."
"314","kennen","Verb","","","to know (a person or place)","ken-nen","Person, Familie & Beziehungen","","Kennen Sie diese Frau? – Nein, leider nicht.","Do you know this woman? – No, unfortunately not."
"315","kennenlernen","Verb","","","to get to know / to meet","ken-nen-lair-nen","Person, Familie & Beziehungen","","Wir sind neu hier. Wir möchten Sie kennenlernen.","We are new here. We would like to get to know you."
"316","das Kind","Nomen","das","die Kinder","child","kint","Person, Familie & Beziehungen","der Erwachsene","Wie viele Kinder haben Sie?","How many children do you have?"
"317","der Kindergarten","Nomen","der","die Kindergärten","kindergarten / preschool","kin-der-gar-ten","Ausbildung, Schule & Studium","","Die kleine Laura geht schon in den Kindergarten.","Little Laura already goes to kindergarten."
"318","das Kino","Nomen","das","die Kinos","cinema / movie theater","kee-no","Freizeit, Hobbys & Unterhaltung","","Wir sehen heute Abend im Kino einen schönen Film.","We are seeing a beautiful film in the cinema tonight."
"319","der Kiosk","Nomen","der","die Kioske","kiosk / newsstand","kee-osk","Einkaufen, Geld & Konsum","","Am Kiosk bekommen Sie Getränke, Zigaretten und Zeitungen.","At the kiosk you get drinks, cigarettes and newspapers."
"320","klar","Adjektiv","","","clear / sure / of course","klahr","Basiswortschatz & Floskeln","unklar","Kommst du mit? - Klar!","Are you coming along? - Sure!"
"321","die Klasse","Nomen","die","die Klassen","class / grade","klahs-seh","Ausbildung, Schule & Studium","","In unserer Klasse sind fünfundzwanzig Schüler. Im Zug fahre ich immer 2. Klasse.","In our class there are twenty-five students. On the train I always travel 2nd class."
"322","die Kleidung","Nomen","die","","clothing / clothes","kly-doong","Einkaufen, Geld & Konsum","","Wo finde ich Kleidung? - Jacken im ersten, Jeans im zweiten Stock.","Where do I find clothes? - Jackets on the first floor, jeans on the second floor."
"323","klein","Adjektiv","","","small / little","kline","Eigenschaften & Adjektive","groß","Eltville ist eine kleine Stadt am Rhein.","Eltville is a small town on the Rhine."
"324","kochen","Verb","","","to cook","kokh-en","Essen, Kochen & Restaurant","","Herr Georgi kann gut kochen.","Mr. Georgi can cook well."
"325","der Koffer","Nomen","der","die Koffer","suitcase","kof-fer","Reise, Verkehr & Mobilität","die Tasche","Ist das Ihr Koffer?","Is that your suitcase?"
"326","der Kollege","Nomen","der","die Kollegen","colleague (male)","kol-ley-geh","Arbeit, Beruf & Karriere","","Wie heißt die neue Kollegin?","What is the new colleague's name?"
"327","kommen","Verb","","","to come","kom-men","Allgemeine Aktivitäten & Verben","gehen","Woher kommen Sie? - Aus Frankreich. Kommst du mit ins Schwimmbad?","Where do you come from? - From France. Are you coming along to the swimming pool?"
"328","das Konto","Nomen","das","die Konten","bank account","kon-toh","Einkaufen, Geld & Konsum","","Das Geld überweisen wir am ersten März auf Ihr Konto.","We will transfer the money to your account on the first of March."
"329","der Kopf","Nomen","der","die Köpfe","head","kopf","Gesundheit, Körper & Pflege","","Mein Kopf tut weh!","My head hurts!"
"330","kosten","Verb","","","to cost","kos-ten","Einkaufen, Geld & Konsum","","Wie viel kostet das? – 10 Euro.","How much does that cost? - 10 euros."
"331","krank","Adjektiv","","","sick / ill","krahnk","Gesundheit, Körper & Pflege","gesund","Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett.","I cannot come to work today, I am sick and lying in bed."
"332","kriegen","Verb","","","to get / to receive","kree-gen","Allgemeine Aktivitäten & Verben","geben","Ich kriege 15 Euro in der Stunde für meine Arbeit.","I get 15 euros an hour for my work."
"333","der Kuchen","Nomen","der","die Kuchen","cake","koo-khen","Essen, Kochen & Restaurant","","Ich nehme ein Stück Kuchen.","I am taking a piece of cake."
"334","der Kugelschreiber","Nomen","der","die Kugelschreiber","ballpoint pen / pen","koo-gel-shry-ber","Ausbildung, Schule & Studium","der Bleistift","Hast du einen Kugelschreiber für mich?","Do you have a ballpoint pen for me?"
"335","kulturell","Adjektiv","","","cultural","kool-too-rel","Freizeit, Hobbys & Unterhaltung","","Ich bin kulturell interessiert. Ich gehe oft ins Museum.","I am culturally interested. I often go to the museum."
"336","der Kunde","Nomen","der","die Kunden","customer / client","koon-deh","Einkaufen, Geld & Konsum","der Verkäufer","Einen Moment, bitte. Ich habe eine Kundin.","One moment, please. I have a customer."
"337","der Kurs","Nomen","der","die Kurse","course / class","koors","Ausbildung, Schule & Studium","","Der Deutschkurs geht bis zum Sommer.","The German course goes until summer."
"338","kurz","Adjektiv","","","short","koorts","Eigenschaften & Adjektive","lang","Ricardo hat kurzes Haar.","Ricardo has short hair."
"339","können","Verb","","","can / to be able to","kern-nen","Allgemeine Aktivitäten & Verben","","Ich kann Deutsch und Russisch. Können Sie mir helfen?","I can speak German and Russian. Can you help me?"
"340","die Küche","Nomen","die","die Küchen","kitchen","kue-kheh","Wohnen, Haus & Haushalt","","Der neue Herd kommt in die Küche.","The new stove is going into the kitchen."
