id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"161","gefährlich","Adjektiv","","","dangerous","ge-fair-likh","Eigenschaften & Adjektive","ungefährlich / sicher","Bei Nebel ist das Autofahren sehr gefährlich.","In fog, driving is very dangerous."
"163","das Gegenteil","Nomen","das","die Gegenteile","opposite","gey-gen-tile","Basiswortschatz & Floskeln","","Er hat genau das Gegenteil von dem gemacht, was ich gesagt habe.","He did exactly the opposite of what I said."
"164","gegenüber","Andere","","","opposite / across from","gey-gen-ue-ber","Basiswortschatz & Floskeln","","Die Bäckerei liegt direkt gegenüber dem Bahnhof.","The bakery is directly opposite the station."
"165","das Gehalt","Nomen","das","die Gehälter","salary / pay","ge-hahlt","Arbeit, Beruf & Karriere","","Am Ende des Monats bekommt sie ihr Gehalt.","At the end of the month she gets her salary."
"166","gehängt / gehangen (hängen)","Verb","","","hung (past participle)","ge-hengt / ge-hahng-en","Wohnen, Haus & Haushalt","","Ich habe das Bild an die Wand gehängt.","I hung the picture on the wall."
"167","die Geldbörse","Nomen","die","die Geldbörsen","wallet / purse","gelt-boer-zeh","Einkaufen, Geld & Konsum","","Ich habe meine Geldbörse im Taxi vergessen.","I left my wallet in the taxi."
"168","genau","Adjektiv","","","exactly / exact","ge-now","Basiswortschatz & Floskeln","ungefähr","Weißt du genau, wann der Zug abfährt?","Do you know exactly when the train departs?"
"169","genug","Andere","","","enough","ge-nook","Basiswortschatz & Floskeln","zu wenig","Wir haben genug Brot für das Frühstück.","We have enough bread for breakfast."
"172","das Gericht","Nomen","das","die Gerichte","dish / meal","ge-rikht","Essen, Kochen & Restaurant","","In diesem Restaurant gibt es viele vegetarische Gerichte.","In this restaurant there are many vegetarian dishes."
"173","das Gerät","Nomen","das","die Geräte","device / appliance","ge-rayt","Wohnen, Haus & Haushalt","","Dieses Gerät verbraucht sehr wenig Strom.","This device uses very little electricity."
"174","die Geschichte","Nomen","die","die Geschichten","story / history","ge-shikh-teh","Freizeit, Hobbys & Unterhaltung","","Meine Oma erzählt den Kindern jeden Abend eine Geschichte.","My grandma tells the children a story every evening."
"175","das Geschirr","Nomen","das","","dishes / tableware","ge-shir","Wohnen, Haus & Haushalt","","Nach dem Essen spüle ich das Geschirr.","After the meal I wash the dishes."
"176","das Gesicht","Nomen","das","die Gesichter","face","ge-zikht","Gesundheit, Körper & Pflege","","Die Sonne scheint mir direkt ins Gesicht.","The sun is shining right in my face."
"177","gesund","Adjektiv","","","healthy / well","ge-zoont","Gesundheit, Körper & Pflege","krank","Obst und Gemüse sind sehr gesund.","Fruit and vegetables are very healthy."
"178","die Gesundheit","Nomen","die","","health","ge-zoont-hite","Gesundheit, Körper & Pflege","die Krankheit","Rauchen ist schlecht für die Gesundheit.","Smoking is bad for your health."
"179","gewesen (sein)","Verb","","","to be","ge-vey-zen","Allgemeine Aktivitäten & Verben","","Bist du schon einmal in Berlin gewesen?","Have you ever been to Berlin?"
"181","das Gewitter","Nomen","das","die Gewitter","thunderstorm","ge-vit-ter","Natur, Umwelt & Tiere","","Am Nachmittag gab es ein starkes Gewitter.","In the afternoon there was a strong thunderstorm."
"182","(an/aus)gezogen","Verb","","","to put on / to take off / to move out","ows-tsee-en","Allgemeine Aktivitäten & Verben","einziehen","Sie hat sich schnell eine warme Jacke angezogen.","She quickly put on a warm jacket."
"183","die Gitarre","Nomen","die","die Gitarren","guitar","gi-tar-reh","Freizeit, Hobbys & Unterhaltung","","Mein Bruder spielt seit drei Jahren Gitarre.","My brother has been playing the guitar for three years."
"185","die Grippe","Nomen","die","","flu / influenza","grip-peh","Gesundheit, Körper & Pflege","","Mit einer Grippe sollte man zu Hause bleiben.","With the flu you should stay at home."
"186","gültig sein","Verb","","","to be valid","guel-tikh zine","Staat, Gesellschaft & Dokumente","ungültig sein","Mein Pass ist noch zwei Jahre gültig.","My passport is still valid for two more years."
"187","der Hals","Nomen","der","die Hälse","neck / throat","hahls","Gesundheit, Körper & Pflege","","Seit gestern tut mir der Hals weh.","Since yesterday my throat hurts."
"188","der Hamburger","Nomen","der","die Hamburger","hamburger","ham-bur-ger","Essen, Kochen & Restaurant","","Zum Mittagessen esse ich einen Hamburger mit Pommes.","For lunch I'm eating a hamburger with fries."
"189","hart","Adjektiv","","","hard","hart","Eigenschaften & Adjektive","weich","Das Brot von gestern ist schon ganz hart.","Yesterday's bread is already quite hard."
"190","der Haushalt","Nomen","der","die Haushalte","household / housework","hows-hahlt","Wohnen, Haus & Haushalt","","Im Haushalt helfen alle in der Familie mit.","Everyone in the family helps with the housework."
"191","das Heft","Nomen","das","die Hefte","notebook / exercise book","heft","Ausbildung, Schule & Studium","das Buch","Schreib die Hausaufgaben bitte in dein Heft.","Please write the homework in your notebook."
"192","die Heizung","Nomen","die","die Heizungen","heating / heater","high-tsoong","Wohnen, Haus & Haushalt","","Im Winter ist die Heizung den ganzen Tag an.","In winter the heating is on all day."
"193","heiß","Adjektiv","","","hot","hice","Eigenschaften & Adjektive","kalt","Vorsicht, der Tee ist noch sehr heiß!","Careful, the tea is still very hot!"
"194","das Hemd","Nomen","das","die Hemden","shirt","hemt","Einkaufen, Geld & Konsum","","Zum Anzug trägt er ein weißes Hemd.","With the suit he wears a white shirt."
"195","her / her-","Andere","","","here / towards here","hair","Basiswortschatz & Floskeln","hin","Komm bitte mal her, ich brauche deine Hilfe.","Please come here for a moment, I need your help."
"196","heraus / raus","Andere","","","out / outwards","he-rows / rows","Basiswortschatz & Floskeln","herein / rein","Komm bitte raus, das Essen ist fertig.","Please come out, the food is ready."
"197","herein / rein","Andere","","","come in / in","her-ine / rine","Basiswortschatz & Floskeln","heraus / raus","Bitte kommen Sie herein und setzen Sie sich.","Please come in and sit down."
"198","herstellen","Verb","","","to produce / to manufacture","hair-shtel-len","Arbeit, Beruf & Karriere","","Diese Firma stellt Möbel aus Holz her.","This company produces furniture made of wood."
"199","herunterladen","Verb","","","to download","he-roon-ter-lah-den","Kommunikation, Medien & Sprache","hochladen","Du kannst die App kostenlos herunterladen.","You can download the app for free."
"201","der Himmel","Nomen","der","","sky / heaven","him-mel","Natur, Umwelt & Tiere","die Erde","Heute ist der Himmel blau und wolkenlos.","Today the sky is blue and cloudless."
"202","hin","Andere","","","there / towards","hin","Basiswortschatz & Floskeln","her","Zum See ist es nicht weit; wir laufen einfach zu Fuß hin.","It's not far to the lake; we'll just walk there on foot."
"203","hinter","Andere","","","behind","hin-ter","Grammatik, Pronomen & Struktur","vor","Der Garten liegt hinter dem Haus.","The garden is behind the house."
"204","hoffen","Verb","","","to hope","hof-fen","Gefühle, Charakter & Meinung","","Ich hoffe, dass das Wetter am Wochenende schön wird.","I hope that the weather will be nice on the weekend."
"205","hoffentlich","Andere","","","hopefully","hof-fent-likh","Gefühle, Charakter & Meinung","","Hoffentlich kommt der Bus bald.","Hopefully the bus comes soon."
"206","die Homepage","Nomen","die","die Homepages","homepage / website","hohm-payj","Kommunikation, Medien & Sprache","","Alle Informationen finden Sie auf unserer Homepage.","You'll find all the information on our homepage."
"207","die Hose","Nomen","die","die Hosen","trousers / pants","ho-zeh","Einkaufen, Geld & Konsum","","Diese Hose ist mir leider zu kurz.","Unfortunately these trousers are too short for me."
"208","husten","Verb","","","to cough","hoos-ten","Gesundheit, Körper & Pflege","","Das Kind hustet seit drei Tagen.","The child has been coughing for three days."
"209","hängen","Verb","","","to hang","heng-en","Wohnen, Haus & Haushalt","liegen / stehen","An der Wand hängt ein großes Bild.","A large picture is hanging on the wall."
"210","hässlich","Adjektiv","","","ugly","hes-likh","Eigenschaften & Adjektive","schön","Das alte Hochhaus finde ich ziemlich hässlich.","I find the old high-rise quite ugly."
"211","die Idee","Nomen","die","die Ideen","idea","ee-dey","Basiswortschatz & Floskeln","","Das ist eine gute Idee, das machen wir!","That's a good idea, let's do that!"
"212","informieren","Verb","","","to inform (oneself) (about)","in-for-mee-ren","Kommunikation, Medien & Sprache","","Bitte informieren Sie sich vorher über die Preise.","Please find out about the prices beforehand."
"213","die Infotafel","Nomen","die","die Infotafeln","board (e.g. information board)","in-fo-tah-fel","Reise, Verkehr & Mobilität","","An der Infotafel hängt der Plan für die Woche.","On the information board hangs the plan for the week."
"214","die Insel","Nomen","die","die Inseln","island","in-zel","Natur, Umwelt & Tiere","das Festland","Im Sommer machen wir Urlaub auf einer kleinen Insel.","In summer we vacation on a small island."
"215","das Instrument","Nomen","das","die Instrumente","instrument","in-stroo-ment","Freizeit, Hobbys & Unterhaltung","","Spielst du ein Instrument?","Do you play an instrument?"
"216","intelligent","Adjektiv","","","intelligent / smart","in-tel-li-gent","Eigenschaften & Adjektive","dumm","Mein Neffe ist ein sehr intelligenter Junge.","My nephew is a very intelligent boy."
"217","interessant","Adjektiv","","","interesting","in-te-res-sahnt","Eigenschaften & Adjektive","langweilig","Der Vortrag gestern war wirklich interessant.","The lecture yesterday was really interesting."
"218","das Interesse","Nomen","das","die Interessen","interest","in-te-res-seh","Freizeit, Hobbys & Unterhaltung","das Desinteresse","Sie hat großes Interesse an Kunst.","She has a great interest in art."
"219","interessiert","Adjektiv","","","interested","in-te-res-seert","Gefühle, Charakter & Meinung","desinteressiert","Ich bin sehr an diesem Job interessiert.","I'm very interested in this job."
"220","das Interview","Nomen","das","die Interviews","interview","in-ter-vyoo","Kommunikation, Medien & Sprache","","Die Sängerin gibt heute ein Interview im Radio.","The singer is giving an interview on the radio today."
"221","die Jeans","Nomen","die","die Jeans","jeans","jeens","Einkaufen, Geld & Konsum","der Rock","Zur Arbeit trage ich meistens eine Jeans.","To work I usually wear jeans."
"222","jeder","Andere","","","every / each","yey-der","Grammatik, Pronomen & Struktur","niemand","Jeder Schüler bekommt ein eigenes Buch.","Every pupil gets their own book."
"223","jemand","Andere","","","someone / somebody","yey-mahnt","Grammatik, Pronomen & Struktur","niemand","Hat jemand meinen Schlüssel gesehen?","Has anyone seen my key?"
"224","joggen","Verb","","","to jog","jog-gen","Freizeit, Hobbys & Unterhaltung","","Jeden Morgen jogge ich eine halbe Stunde im Park.","Every morning I jog half an hour in the park."
"225","die Jugendherberge","Nomen","die","die Jugendherbergen","youth hostel","yoo-gent-hair-bair-geh","Reise, Verkehr & Mobilität","das Hotel","Auf der Klassenfahrt übernachten wir in einer Jugendherberge.","On the class trip we stay overnight in a youth hostel."
"226","der Kalender","Nomen","der","die Kalender","calendar","kah-len-der","Uhrzeit, Datum & Kalender","","Den Termin habe ich mir im Kalender notiert.","I noted the appointment in my calendar."
"227","kalt","Adjektiv","","","cold","kahlt","Eigenschaften & Adjektive","heiß / warm","Zieh dir eine Jacke an, draußen ist es kalt.","Put on a jacket, it's cold outside."
"228","die Kamera","Nomen","die","die Kameras","camera","kah-meh-rah","Kommunikation, Medien & Sprache","","Für den Urlaub habe ich mir eine neue Kamera gekauft.","For the vacation I bought myself a new camera."
"229","die Katze","Nomen","die","die Katzen","cat","kaht-seh","Natur, Umwelt & Tiere","der Hund","Unsere Katze schläft den ganzen Tag auf dem Sofa.","Our cat sleeps on the sofa all day."
"230","das Kaufhaus","Nomen","das","die Kaufhäuser","department store","kowf-hows","Einkaufen, Geld & Konsum","","Im Kaufhaus gibt es alles von Kleidung bis Möbel.","In the department store there is everything from clothing to furniture."
"231","der Keller","Nomen","der","die Keller","basement / cellar","kel-ler","Wohnen, Haus & Haushalt","der Dachboden","Die alten Möbel stehen unten im Keller.","The old furniture is down in the basement."
"232","die Kette","Nomen","die","die Ketten","chain / necklace","ket-teh","Einkaufen, Geld & Konsum","","Zum Geburtstag hat er ihr eine goldene Kette geschenkt.","For her birthday he gave her a gold necklace."
"233","die Kirche","Nomen","die","die Kirchen","church","keer-kheh","Basiswortschatz & Floskeln","","Mitten im Dorf steht eine alte Kirche.","In the middle of the village stands an old church."
"234","klappen","Verb","","","to work out / to go smoothly","klahp-pen","Allgemeine Aktivitäten & Verben","schiefgehen","Ich hoffe, dass mit dem Umzug alles klappt.","I hope that everything works out with the move."
"236","das Klavier","Nomen","das","die Klaviere","piano","klah-veer","Freizeit, Hobbys & Unterhaltung","","Meine Tochter lernt seit einem Jahr Klavier.","My daughter has been learning the piano for a year."
"237","das Kleid","Nomen","das","die Kleider","dress","klite","Einkaufen, Geld & Konsum","","Zur Hochzeit trägt sie ein langes blaues Kleid.","To the wedding she wears a long blue dress."
"238","der Klub","Nomen","der","die Klubs","club","kloob","Freizeit, Hobbys & Unterhaltung","","Er ist seit Jahren Mitglied in einem Sportklub.","He has been a member of a sports club for years."
"239","klug","Adjektiv","","","smart / clever","kloog","Eigenschaften & Adjektive","dumm","Das war eine kluge Entscheidung von dir.","That was a clever decision of yours."
"240","die Kollegin","Nomen","die","die Kolleginnen","colleague (female)","ko-lay-gin","Arbeit, Beruf & Karriere","","Meine Kollegin hilft mir oft bei der Arbeit.","My colleague often helps me with the work."
"241","komisch","Adjektiv","","","funny / strange / weird","ko-mish","Eigenschaften & Adjektive","normal / ernst","Das Essen schmeckt heute irgendwie komisch.","The food tastes somehow strange today."
"242","der Kontakt","Nomen","der","die Kontakte","contact","kon-takt","Kommunikation, Medien & Sprache","","Wir haben leider den Kontakt verloren.","Unfortunately we've lost contact."
"243","kontrollieren","Verb","","","to control / to check","kon-trol-lee-ren","Allgemeine Aktivitäten & Verben","","An der Grenze kontrolliert die Polizei die Pässe.","At the border the police check the passports."
"244","das Konzert","Nomen","das","die Konzerte","concert","kon-tsert","Freizeit, Hobbys & Unterhaltung","","Die Karten für das Konzert waren schnell ausverkauft.","The tickets for the concert were quickly sold out."
"245","die Kosmetik","Nomen","die","","cosmetics","kos-mey-tik","Gesundheit, Körper & Pflege","","In der Drogerie gibt es Kosmetik und Seife.","In the drugstore there are cosmetics and soap."
"246","kostenlos","Adjektiv","","","free / free of charge","kos-ten-lohs","Einkaufen, Geld & Konsum","teuer / kostenpflichtig","Der Eintritt ins Museum ist für Kinder kostenlos.","Admission to the museum is free for children."
"247","das Krankenhaus","Nomen","das","die Krankenhäuser","hospital","krahnk-en-hows","Gesundheit, Körper & Pflege","","Nach dem Unfall musste er ins Krankenhaus.","After the accident he had to go to the hospital."
"248","die Krankenkasse","Nomen","die","die Krankenkassen","health insurance (company) / health fund","krahnk-en-kahs-seh","Gesundheit, Körper & Pflege","","Die Krankenkasse bezahlt die meisten Medikamente.","The health insurance pays for most medicines."
"249","die Krankheit","Nomen","die","die Krankheiten","illness / disease","krahnk-hite","Gesundheit, Körper & Pflege","die Gesundheit","Diese Krankheit ist zum Glück nicht gefährlich.","Fortunately this illness is not dangerous."
"250","der Kredit","Nomen","der","die Kredite","credit / loan","kre-deet","Einkaufen, Geld & Konsum","","Für das Haus haben sie einen Kredit bei der Bank aufgenommen.","For the house they took out a loan at the bank."
"251","die Kreuzung","Nomen","die","die Kreuzungen","intersection / crossroads","kroy-tsoong","Reise, Verkehr & Mobilität","","An der nächsten Kreuzung müssen Sie links abbiegen.","At the next intersection you have to turn left."
"252","der Krimi","Nomen","der","die Krimis","thriller / crime novel / crime film","kri-mee","Freizeit, Hobbys & Unterhaltung","","Am liebsten lese ich abends einen spannenden Krimi.","In the evening I most like to read an exciting crime novel."
"253","die Kultur","Nomen","die","die Kulturen","culture","kool-toor","Freizeit, Hobbys & Unterhaltung","","Auf der Reise lernen wir viel über die fremde Kultur.","On the trip we learn a lot about the foreign culture."
"254","die Kundin","Nomen","die","die Kundinnen","customer (female)","koon-din","Einkaufen, Geld & Konsum","die Verkäuferin","Die Kundin möchte die Bluse umtauschen.","The customer wants to exchange the blouse."
"255","die Kunst","Nomen","die","die Künste","art","koonst","Freizeit, Hobbys & Unterhaltung","","Sie interessiert sich sehr für moderne Kunst.","She is very interested in modern art."
"256","der Käse","Nomen","der","","cheese","kay-zeh","Essen, Kochen & Restaurant","die Wurst","Auf das Brot lege ich gern Käse und Tomate.","On the bread I like to put cheese and tomato."
"257","der Körper","Nomen","der","die Körper","body","koer-per","Gesundheit, Körper & Pflege","","Sport ist gut für den Körper.","Sports are good for the body."
"258","kühl","Adjektiv","","","cool / chilly","kuel","Natur, Umwelt & Tiere","warm","Am Abend wird es im Herbst schnell kühl.","In autumn it quickly gets cool in the evening."
"259","die Lampe","Nomen","die","die Lampen","lamp","lahm-peh","Wohnen, Haus & Haushalt","","Über dem Tisch hängt eine helle Lampe.","Above the table hangs a bright lamp."
"260","langweilig","Adjektiv","","","boring","lahng-vy-lig","Eigenschaften & Adjektive","interessant / spannend","Der Film war so langweilig, dass ich fast eingeschlafen bin.","The movie was so boring that I almost fell asleep."
"261","der/das Laptop","Nomen","der/das","die Laptops","laptop","lep-top","Kommunikation, Medien & Sprache","","Meinen Laptop nehme ich auf jede Reise mit.","I take my laptop on every trip."
"262","lassen","Verb","","","to let / to leave","lahs-sen","Allgemeine Aktivitäten & Verben","","Lass die Kinder bitte draußen spielen.","Please let the children play outside."
"263","leer","Adjektiv","","","empty","lair","Eigenschaften & Adjektive","voll","Der Kühlschrank ist schon wieder ganz leer.","The fridge is completely empty again."
"264","leidtun / leid tun","Verb","","","to be sorry","lyte-toon","Basiswortschatz & Floskeln","","Es tut mir leid, dass ich zu spät gekommen bin.","I'm sorry that I came too late."
"265","leihen","Verb","","","to lend / to borrow","ly-en","Einkaufen, Geld & Konsum","zurückgeben","Kannst du mir bis morgen zehn Euro leihen?","Can you lend me ten euros until tomorrow?"
"267","lieb- / lieber","Andere","","","dear / lovely / rather (prefer)","leep / lee-ber","Gefühle, Charakter & Meinung","böse","Ich trinke lieber Tee als Kaffee.","I prefer to drink tea rather than coffee."
"268","liefern","Verb","","","to deliver","lee-fern","Einkaufen, Geld & Konsum","abholen","Die Firma liefert die Möbel direkt nach Hause.","The company delivers the furniture directly to your home."
"269","der Link","Nomen","der","die Links","link (internet)","link","Kommunikation, Medien & Sprache","","Den Link zu der Webseite schicke ich dir gleich.","I'll send you the link to the website right away."
"270","die Lust","Nomen","die","die Lüste","desire / mood / fancy","loost","Gefühle, Charakter & Meinung","die Unlust","Hast du heute Abend Lust, ins Kino zu gehen?","Do you feel like going to the cinema tonight?"
"271","der Löffel","Nomen","der","die Löffel","spoon","loef-fel","Essen, Kochen & Restaurant","","Zum Essen der Suppe brauche ich einen Löffel.","To eat the soup I need a spoon."
"272","die Lüge","Nomen","die","die Lügen","lie","lue-geh","Kommunikation, Medien & Sprache","die Wahrheit","Das war eine Lüge, er war gar nicht krank.","That was a lie; he wasn't sick at all."
"273","lügen","Verb","","","to lie","lue-gen","Kommunikation, Medien & Sprache","die Wahrheit sagen","Ich glaube, dass er nicht die Wahrheit sagt und lügt.","I think he is not telling the truth and is lying."
"274","der Magen","Nomen","der","die Mägen","stomach","mah-gen","Gesundheit, Körper & Pflege","","Nach dem vielen Essen tut mir der Magen weh.","After all the eating my stomach hurts."
"275","die Mailbox","Nomen","die","die Mailboxen","voicemail / mailbox","mayl-box","Kommunikation, Medien & Sprache","","Ich habe ihm eine Nachricht auf die Mailbox gesprochen.","I left him a message on his voicemail."
"276","mal / das Mal","Andere","","","time / times (e.g., once, this time) / just","mahl","Zahlen, Maße & Mengen","","Komm doch mal bei uns vorbei.","Why don't you come by our place sometime."
"277","malen","Verb","","","to paint / to draw","mah-len","Freizeit, Hobbys & Unterhaltung","","Das Kind malt ein Bild von seiner Familie.","The child is painting a picture of its family."
"278","manch-","Andere","","","some / many a","mahnch","Zahlen, Maße & Mengen","","Manche Leute mögen keinen Kaffee.","Some people don't like coffee."
"279","manchmal","Andere","","","sometimes","mahnch-mahl","Uhrzeit, Datum & Kalender","nie / immer","Manchmal gehe ich am Wochenende ins Schwimmbad.","Sometimes I go to the swimming pool on the weekend."
"280","der Mantel","Nomen","der","die Mäntel","coat / overcoat","mahn-tel","Einkaufen, Geld & Konsum","die Jacke","Im Winter brauchst du einen warmen Mantel.","In winter you need a warm coat."
"281","der Markt","Nomen","der","die Märkte","market","markt","Einkaufen, Geld & Konsum","","Jeden Samstag kaufen wir auf dem Markt ein.","Every Saturday we shop at the market."
"282","meinen","Verb","","","to mean / to think","my-nen","Gefühle, Charakter & Meinung","","Was meinst du mit dieser Frage?","What do you mean by this question?"
"283","die Meinung","Nomen","die","die Meinungen","opinion","my-noong","Gefühle, Charakter & Meinung","","Meiner Meinung nach ist der Film sehr gut.","In my opinion the film is very good."
"284","die Menge","Nomen","die","die Mengen","amount / quantity / lot","meng-eh","Zahlen, Maße & Mengen","","Auf dem Fest war eine große Menge Menschen.","There was a large crowd of people at the festival."
"285","merken","Verb","","","to notice / to remember","mair-ken","Allgemeine Aktivitäten & Verben","vergessen","Ich kann mir die vielen Namen einfach nicht merken.","I just can't remember the many names."
"286","die Messe","Nomen","die","die Messen","trade fair / exhibition","mes-seh","Arbeit, Beruf & Karriere","","Auf der Messe stellen viele Firmen ihre Produkte vor.","At the trade fair many companies present their products."
"287","das Messer","Nomen","das","die Messer","knife","mes-ser","Essen, Kochen & Restaurant","","Mit diesem Messer kann man das Brot gut schneiden.","With this knife you can cut the bread well."
"288","mindestens","Andere","","","at least","min-des-tens","Basiswortschatz & Floskeln","höchstens","Bis zum Bahnhof brauchen wir mindestens zwanzig Minuten.","We need at least twenty minutes to the station."
"289","das Mineralwasser","Nomen","das","","mineral water","mi-ne-rahl-vahs-ser","Essen, Kochen & Restaurant","das Leitungswasser","Zum Essen trinke ich gern Mineralwasser.","With the meal I like to drink mineral water."
"291","der Mitarbeiter","Nomen","der","die Mitarbeiter","employee / co-worker","mit-ar-by-ter","Arbeit, Beruf & Karriere","der Chef","Die Firma sucht einen neuen Mitarbeiter für das Büro.","The company is looking for a new employee for the office."
"292","das Mittagessen","Nomen","das","die Mittagessen","lunch","mit-tahg-es-sen","Essen, Kochen & Restaurant","das Abendessen / das Frühstück","Zum Mittagessen gibt es heute Suppe.","For lunch today there is soup."
"293","das Mittel","Nomen","das","die Mittel","remedy / medicine / means","mit-tel","Gesundheit, Körper & Pflege","","Gegen Kopfschmerzen nehme ich ein Mittel aus der Apotheke.","For headaches I take a remedy from the pharmacy."
"294","das Mobiltelefon","Nomen","das","die Mobiltelefone","mobile phone / cell phone","mo-beel-te-le-fon","Kommunikation, Medien & Sprache","das Festnetztelefon","Bitte schalten Sie im Kino Ihr Mobiltelefon aus.","Please turn off your mobile phone in the cinema."
"295","die Mode","Nomen","die","die Moden","fashion","mo-deh","Einkaufen, Geld & Konsum","","Sie interessiert sich sehr für Mode.","She is very interested in fashion."
"296","modern","Adjektiv","","","modern","mo-dairn","Eigenschaften & Adjektive","altmodisch","Die neue Küche ist hell und modern.","The new kitchen is bright and modern."
"297","der Motor","Nomen","der","die Motoren","engine / motor","mo-tor","Reise, Verkehr & Mobilität","","Der Motor von dem alten Auto macht komische Geräusche.","The engine of the old car makes strange noises."
"298","der Motorroller","Nomen","der","die Motorroller","scooter / motor scooter","mo-tor-rol-ler","Reise, Verkehr & Mobilität","","Zur Arbeit fährt sie mit dem Motorroller.","She rides her scooter to work."
"299","das Museum","Nomen","das","die Museen","museum","moo-zay-oom","Freizeit, Hobbys & Unterhaltung","","Am Sonntag besuchen wir ein Museum in der Stadt.","On Sunday we visit a museum in the city."
"300","die Musik","Nomen","die","","music","moo-zeek","Freizeit, Hobbys & Unterhaltung","","Beim Aufräumen höre ich gern laute Musik.","While tidying up I like to listen to loud music."
"301","der Müll","Nomen","der","","garbage / trash / rubbish","muel","Natur, Umwelt & Tiere","","Bitte bring den Müll nach unten.","Please take the trash downstairs."
"302","die Mütze","Nomen","die","die Mützen","cap / beanie","muet-seh","Einkaufen, Geld & Konsum","","Bei der Kälte solltest du eine Mütze tragen.","In the cold you should wear a cap."
"303","der Nachbar","Nomen","der","die Nachbarn","neighbor (male)","nahkh-bahr","Wohnen, Haus & Haushalt","","Unser Nachbar gießt im Urlaub die Blumen.","Our neighbor waters the flowers while we're on vacation."
"304","die Nachricht","Nomen","die","die Nachrichten","message / news","nahkh-rikht","Kommunikation, Medien & Sprache","","Ich habe dir gestern eine Nachricht geschickt.","I sent you a message yesterday."
"305","nass","Adjektiv","","","wet","nahs","Eigenschaften & Adjektive","trocken","Ohne Schirm wurde ich im Regen ganz nass.","Without an umbrella I got completely wet in the rain."
"306","die Natur","Nomen","die","","nature","nah-toor","Natur, Umwelt & Tiere","","Am Wochenende sind wir gern draußen in der Natur.","On the weekend we like to be outside in nature."
"307","natürlich","Andere","","","naturally / of course","nah-tuer-likh","Basiswortschatz & Floskeln","unnatürlich","Natürlich helfe ich dir beim Umzug.","Of course I'll help you with the move."
"308","neben","Andere","","","next to / beside","nay-ben","Grammatik, Pronomen & Struktur","","Der Stuhl steht neben dem Tisch.","The chair is next to the table."
"309","nebenan","Andere","","","next door","nay-ben-ahn","Wohnen, Haus & Haushalt","","Die Bäckerei ist gleich nebenan.","The bakery is right next door."
"310","neblig","Adjektiv","","","foggy","nay-blig","Natur, Umwelt & Tiere","klar / sonnig","Heute Morgen war es auf der Straße sehr neblig.","This morning it was very foggy on the road."
"311","nennen","Verb","","","to call / to name","nen-nen","Kommunikation, Medien & Sprache","","Wie nennt man dieses Tier auf Deutsch?","What do you call this animal in German?"
"312","nervös","Adjektiv","","","nervous","ner-voes","Gefühle, Charakter & Meinung","ruhig / entspannt","Vor der Prüfung war ich ziemlich nervös.","Before the exam I was quite nervous."
"313","nett","Adjektiv","","","nice / kind","net","Gefühle, Charakter & Meinung","unfreundlich","Die neuen Kollegen sind alle sehr nett.","The new colleagues are all very nice."
"314","niemand","Andere","","","nobody / no one","nee-mahnt","Grammatik, Pronomen & Struktur","jeder / alle","Am frühen Morgen war noch niemand im Park.","Early in the morning there was no one in the park yet."
"315","nirgends","Andere","","","nowhere / not anywhere","neer-gents","Basiswortschatz & Floskeln","überall","Meinen Schlüssel finde ich nirgends.","I can't find my key anywhere."
"316","die Note","Nomen","die","die Noten","grade / mark / note","no-teh","Ausbildung, Schule & Studium","","Sie hat in der Prüfung eine gute Note bekommen.","She got a good grade in the exam."
"317","notieren","Verb","","","to note / to write down","no-tee-ren","Kommunikation, Medien & Sprache","","Ich notiere mir die Adresse schnell.","I'll quickly note down the address."
"318","die Notiz","Nomen","die","die Notizen","note","no-teets","Kommunikation, Medien & Sprache","","Auf dem Tisch liegt eine Notiz von meiner Mutter.","On the table there's a note from my mother."
"319","notwendig","Adjektiv","","","necessary","noht-ven-dig","Eigenschaften & Adjektive","unnötig","Für die Reise ist ein gültiger Pass notwendig.","For the trip a valid passport is necessary."
"320","die Nudel","Nomen","die","die Nudeln","noodle / pasta","noo-del","Essen, Kochen & Restaurant","","Heute koche ich Nudeln mit Tomatensoße.","Today I'm cooking pasta with tomato sauce."
"321","nächste","Andere","","","next","naekh-steh","Basiswortschatz & Floskeln","letzte","An der nächsten Haltestelle steigen wir aus.","We get off at the next stop."
"322","die Nähe","Nomen","die","","vicinity / nearness / proximity","nae-eh","Basiswortschatz & Floskeln","die Ferne","Gibt es hier in der Nähe einen Supermarkt?","Is there a supermarket nearby here?"
"323","nützlich","Adjektiv","","","useful","nuets-likh","Eigenschaften & Adjektive","nutzlos","Dieses Wörterbuch ist beim Lernen sehr nützlich.","This dictionary is very useful when learning."
"324","offen","Adjektiv","","","open","of-fen","Eigenschaften & Adjektive","geschlossen / zu","Die Bäckerei ist auch am Sonntag offen.","The bakery is open on Sundays too."
"327","das Ohr","Nomen","das","die Ohren","ear","or","Gesundheit, Körper & Pflege","","Bei dem lauten Konzert taten mir die Ohren weh.","At the loud concert my ears hurt."
"328","online","Andere","","","online","on-line","Kommunikation, Medien & Sprache","offline","Die meisten Sachen kaufe ich heute online.","Most things I buy online these days."
"329","die Orange","Nomen","die","die Orangen","orange","o-rahn-zheh","Essen, Kochen & Restaurant","","Zum Frühstück esse ich gern eine Orange.","For breakfast I like to eat an orange."
