id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"131","faul","Adjektiv","","","lazy","fowl","Gefühle, Charakter & Meinung","fleißig","Heute sind wir faul: Wir machen keine Hausaufgaben und arbeiten nicht.","Today we are lazy: We are doing no homework and are not working."
"132","die Feier","Nomen","die","die Feiern","celebration / party","fy-er","Freizeit, Hobbys & Unterhaltung","","Die Feier war sehr schön.","The celebration was very beautiful."
"133","der Feierabend / der Feiertag","Nomen","der","die Feierabende / die Feiertage","end of work / public holiday","fy-er-ah-bent / fy-er-tahk","Arbeit, Beruf & Karriere","der Arbeitstag","Wann hast du Feierabend? Am ersten Mai ist ein Feiertag.","When do you finish work? The first of May is a public holiday."
"134","das Fenster","Nomen","das","die Fenster","window","fen-ster","Wohnen, Haus & Haushalt","","Kannst du bitte das Fenster öffnen?","Can you please open the window?"
"135","die Ferien","Nomen","die","","vacations / holidays","fay-ree-en","Reise, Verkehr & Mobilität","die Schule / der Alltag","Bald haben wir Ferien. Fährst du in den Ferien weg oder bleibst du zu Hause?","We have holidays soon. Are you going away during the holidays or staying at home?"
"136","der Fernseher","Nomen","der","die Fernseher","television / TV set","fairn-zey-er","Freizeit, Hobbys & Unterhaltung","","Der Fernseher ist schon wieder kaputt.","The television is broken again."
"137","das Fest","Nomen","das","die Feste","festival / celebration / party","fest","Freizeit, Hobbys & Unterhaltung","","Frohes Fest! Am Wochenende feiern wir ein Fest. Meine Tochter hat Geburtstag.","Happy holidays! On the weekend we are celebrating a party. My daughter has her birthday."
"138","das Festival","Nomen","das","die Festivals","festival","fes-ti-val","Freizeit, Hobbys & Unterhaltung","","Am Wochenende ist in der Stadt ein Musik-Festival.","On the weekend there is a music festival in the city."
"139","fett","Adjektiv","","","fat / fatty / greasy","fet","Eigenschaften & Adjektive","mager","Die Wurst ist mir zu fett. Das ist aber eine fette Katze!","The sausage is too fatty for me. That is a fat cat!"
"140","fit sein","Verb","","","to be fit","fit zine","Gesundheit, Körper & Pflege","schlapp sein","Tom will fit sein. Er geht jeden Tag ins Fitnessstudio.","Tom wants to be fit. He goes to the gym every day."
"141","fleißig","Adjektiv","","","diligent / hard-working","fly-sikh","Eigenschaften & Adjektive","faul","Ibrahim ist sehr fleißig. Er macht immer seine Hausaufgaben.","Ibrahim is very diligent. He always does his homework."
"142","der Flohmarkt","Nomen","der","die Flohmärkte","flea market","flo-markt","Einkaufen, Geld & Konsum","","Ich gehe gern auf den Flohmarkt. Diesen Hut habe ich auf dem Flohmarkt gekauft.","I like going to the flea market. I bought this hat at the flea market."
"143","der Flug","Nomen","der","die Flüge","flight","flook","Reise, Verkehr & Mobilität","","Ich möchte einen Flug nach Kanada buchen. Der Flug LH123 von München nach Frankfurt ist um 21:00 Uhr.","I would like to book a flight to Canada. Flight LH123 from Munich to Frankfurt is at 9:00 p.m."
"144","der Fluss","Nomen","der","die Flüsse","river","floos","Natur, Umwelt & Tiere","","Der Rhein ist ein großer Fluss.","The Rhine is a large river."
"145","fotografieren","Verb","","","to photograph / to take pictures","fo-to-grah-fee-ren","Freizeit, Hobbys & Unterhaltung","","Ich fotografiere gern.","I like to take pictures."
"146","freiwillig","Adjektiv","","","voluntary / voluntarily","fry-vil-likh","Eigenschaften & Adjektive","obligatorisch","Manchmal bleibe ich freiwillig länger im Büro.","Sometimes I voluntarily stay longer in the office."
"147","die Freundin","Nomen","die","die Freundinnen","friend / girlfriend","froyn-din","Person, Familie & Beziehungen","","Das ist meine Freundin Susanne.","That is my friend Susanne."
"148","freundlich","Adjektiv","","","friendly","froynt-likh","Gefühle, Charakter & Meinung","unfreundlich","Er ist immer sehr freundlich zu mir. Mit freundlichen Grüßen","He is always very friendly to me. With kind regards"
"149","frisch","Adjektiv","","","fresh","frish","Essen, Kochen & Restaurant","alt","Das Brot ist noch ganz frisch. Ich habe es gerade gekauft.","The bread is still quite fresh. I just bought it."
"150","froh","Adjektiv","","","glad / happy","fro","Gefühle, Charakter & Meinung","traurig","Ich bin froh, dass du kommen kannst. Frohes Fest!","I am glad that you can come. Happy holidays!"
"151","früh","Adjektiv","","","early","frue","Uhrzeit, Datum & Kalender","spät","Geht es auch später? Sechs Uhr ist mir zu früh. Ich muss morgen sehr früh aufstehen.","Is it also possible later? Six o'clock is too early for me. I have to get up very early tomorrow."
"152","die Fundsachen","Nomen","die","die Fundsachen","lost property / lost and found","foont-zah-khen","Reise, Verkehr & Mobilität","","Haben Sie meinen Schirm gefunden? - Sie können dort bei den Fundsachen schauen.","Have you found my umbrella? - You can look there at the lost property."
"153","furchtbar","Adjektiv","","","terrible / awful","foorkht-bar","Eigenschaften & Adjektive","wunderbar","Er hat furchtbare Schmerzen. Die Hose sieht ja furchtbar aus. So kannst du nicht zur Arbeit gehen!","He has terrible pain. The pants look awful. You cannot go to work like that!"
"154","der Führerschein","Nomen","der","die Führerscheine","driver's license / driving license","fue-rer-shine","Reise, Verkehr & Mobilität","","Hast du den Führerschein? Sie hat die Führerscheinprüfung bestanden.","Do you have the driver's license? She passed the driving test."
"155","der Führerschein","Nomen","der","die Führerscheine","driver's license / driving license","fue-rer-shine","Reise, Verkehr & Mobilität","","Hast du den Führerschein? Sie hat die Führerscheinprüfung bestanden.","Do you have the driver's license? She passed the driving test."
"156","die Gabel","Nomen","die","die Gabeln","fork","gah-bel","Essen, Kochen & Restaurant","das Messer","Kann ich bitte eine Gabel haben?","Can I please have a fork?"
"157","ganz","Adjektiv","","","whole / entire / completely","gahnts","Zahlen, Maße & Mengen","kaputt / teilweise","Oh nein! Was ist passiert? Ist deine Brille jetzt kaputt? - Nein, zum Glück ist sie noch ganz! Morgen haben wir den ganzen Tag Schule. Ich bin ganz sicher, dass dein Termin am Montag ist. Ich finde Lara ganz nett. Oh, ich habe meinen Zahnarzttermin ganz vergessen.","Oh no! What happened? Are your glasses broken now? - No, luckily they are still whole! Tomorrow we have school the whole day. I am quite sure that your appointment is on Monday. I find Lara quite nice. Oh, I completely forgot my dentist appointment."
"158","die Garage","Nomen","die","die Garagen","garage","gah-rah-zheh","Wohnen, Haus & Haushalt","","Hier ist eine Garage für dein Auto.","Here is a garage for your car."
"159","Geburts- (z.B. Geburtsjahr, Geburtsort)","Andere","","","birth- (e.g. birth year, birthplace)","ge-boorts","Person, Familie & Beziehungen","","Das Geburtsjahr Ihres Sohnes, bitte? Bitte tragen Sie Ihren Geburtsort noch ein. Herzlichen Glückwunsch zum Geburtstag!","Your son's birth year, please? Please also fill in your birthplace. Happy birthday!"
"160","geehrt-","Adjektiv","","","honored / dear (formal greeting)","ge-airt","Kommunikation, Medien & Sprache","","Sehr geehrte Damen und Herren,","Dear Sir or Madam,"
"161","gefährlich","Adjektiv","","","dangerous","ge-fair-likh","Eigenschaften & Adjektive","ungefährlich / sicher","Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.","You must not cross the street on red. That is dangerous."
"162","gegen","Andere","","","against / for (a remedy)","gey-gen","Grammatik, Pronomen & Struktur","für","Fahr nicht gegen den Baum! Ich bin gegen diesen Vorschlag. Wer spielt gegen wen? - Bayern gegen Dortmund. Haben Sie etwas gegen Grippe?","Do not drive against the tree! I am against this proposal. Who is playing against whom? - Bayern against Dortmund. Do you have anything for the flu?"
"163","das Gegenteil","Nomen","das","die Gegenteile","opposite","gey-gen-tile","Basiswortschatz & Floskeln","","Das Gegenteil von „klein“ ist „groß“.","The opposite of ""small"" is ""big""."
"164","gegenüber","Andere","","","opposite / across from","gey-gen-ue-ber","Basiswortschatz & Floskeln","","Die Post ist gegenüber vom Bahnhof. Die Hausnummer 84 ist gleich gegenüber.","The post office is opposite the train station. House number 84 is right opposite."
"165","das Gehalt","Nomen","das","die Gehälter","salary / pay","ge-hahlt","Arbeit, Beruf & Karriere","","Sie ist mit ihrem Gehalt zufrieden.","She is satisfied with her salary."
"166","gehängt / gehangen (hängen)","Verb","","","hung (past participle)","ge-hengt / ge-hahng-en","Wohnen, Haus & Haushalt","","Im Museum hängen moderne Bilder. Warum hast du das Bild noch nicht an die Wand gehängt? Das Bild von meiner Tochter hat im Wohnzimmer gehangen.","Modern pictures are hanging in the museum. Why haven't you hung the picture on the wall yet? The picture of my daughter hung in the living room."
"167","die Geldbörse","Nomen","die","die Geldbörsen","wallet / purse","gelt-boer-zeh","Einkaufen, Geld & Konsum","","Sie hat ihre Geldbörse verloren.","She lost her wallet."
"168","genau","Andere","","","exactly / exact","ge-now","Basiswortschatz & Floskeln","ungefähr","Sind Sie sicher, dass die Prüfung am 15. Juni ist? - Ja, das weiß ich genau. Die Uhr geht genau. Es ist genau acht Uhr.","Are you sure that the exam is on June 15th? - Yes, I know that exactly. The clock is exactly on time. It is exactly eight o'clock."
"169","genug","Andere","","","enough","ge-nook","Basiswortschatz & Floskeln","zu wenig","Es ist noch genug Pizza da. Möchtest du noch ein Stück? Ich verdiene nicht genug.","There is still enough pizza. Would you like another piece? I do not earn enough."
"170","gerade","Andere","","","just / exactly / currently","ge-rah-deh","Basiswortschatz & Floskeln","","Kannst du später anrufen? Wir essen gerade. Was machst du gerade? Da kommt er ja gerade.","Can you call later? We are eating right now. What are you doing right now? There he comes right now."
"171","geradeaus","Andere","","","straight ahead","ge-rah-deh-ows","Reise, Verkehr & Mobilität","","Gehen Sie immer geradeaus!","Always go straight ahead!"
"172","das Gericht","Nomen","das","die Gerichte","dish / meal","ge-rikht","Essen, Kochen & Restaurant","","Mein Lieblingsgericht ist Pizza.","My favorite dish is pizza."
"173","das Gerät","Nomen","das","die Geräte","device / appliance","ge-rayt","Wohnen, Haus & Haushalt","","Elektrogeräte finden Sie im dritten Stock.","You will find electrical appliances on the third floor."
"174","die Geschichte","Nomen","die","die Geschichten","story / history","ge-shikh-teh","Freizeit, Hobbys & Unterhaltung","","Erzählst du mir eine Geschichte? Ich interessiere mich nicht für Geschichte. Paul hat gute Noten in Geschichte.","Will you tell me a story? I am not interested in history. Paul has good grades in history."
"175","das Geschirr","Nomen","das","","dishes / tableware","ge-shir","Wohnen, Haus & Haushalt","","Stellst du bitte das Geschirr in den Schrank?","Will you please put the dishes in the cupboard?"
"176","das Gesicht","Nomen","das","die Gesichter","face","ge-zikht","Gesundheit, Körper & Pflege","","Wasch dir bitte das Gesicht. Sie hat ein freundliches Gesicht.","Please wash your face. She has a friendly face."
"177","gesund","Adjektiv","","","healthy / well","ge-zoont","Gesundheit, Körper & Pflege","krank","Ich hatte Grippe. Jetzt bin ich wieder gesund.","I had the flu. Now I am healthy again."
"178","die Gesundheit","Nomen","die","","health","ge-zoont-hite","Gesundheit, Körper & Pflege","die Krankheit","Gesundheit! Sind Sie erkältet?","Bless you! Are you catching a cold?"
"179","gewesen (sein)","Verb","","","to be","ge-vey-zen","Allgemeine Aktivitäten & Verben","","Das sind meine Kollegen. Ich bin Mechaniker.","These are my colleagues. I am a mechanic."
"180","gewesen (sein)","Verb","","","to be","ge-vey-zen","Allgemeine Aktivitäten & Verben","","Das sind meine Kollegen. Ich bin Mechaniker.","These are my colleagues. I am a mechanic."
"181","das Gewitter","Nomen","das","die Gewitter","thunderstorm","ge-vit-ter","Natur, Umwelt & Tiere","","Ich glaube, es gibt heute ein Gewitter.","I think there will be a thunderstorm today."
"182","(an/aus)gezogen","Verb","","","to put on / to take off / to move out","ows-tsee-en","Allgemeine Aktivitäten & Verben","einziehen","Ich ziehe (mir) eine Jacke an. Er hat sein T-Shirt ausgezogen und ein Hemd angezogen. Die Nachbarn sind am Wochenende ausgezogen.","I put on a jacket. He took off his T-shirt and put on a shirt. The neighbors moved out on the weekend."
"183","die Gitarre","Nomen","die","die Gitarren","guitar","gi-tar-reh","Freizeit, Hobbys & Unterhaltung","","Er kann gut Gitarre spielen.","He can play the guitar well."
"184","gleich","Andere","","","right away / equal / same","glykh","Basiswortschatz & Floskeln","verschieden","Ich komme gleich. Wir sind gleich alt.","I am coming right away. We are the same age."
"185","die Grippe","Nomen","die","","flu / influenza","grip-peh","Gesundheit, Körper & Pflege","","Ich habe eine Grippe und kann leider nicht kommen.","I have the flu and unfortunately cannot come."
"186","gültig sein","Verb","","","to be valid","guel-tikh zine","Staat, Gesellschaft & Dokumente","ungültig sein","Der Pass ist nicht mehr gültig.","The passport is no longer valid."
"187","der Hals","Nomen","der","die Hälse","neck / throat","hahls","Gesundheit, Körper & Pflege","","Mir tut der Hals weh. Ich habe seit gestern Halsschmerzen.","My throat hurts. I have had a sore throat since yesterday."
"188","der Hamburger","Nomen","der","die Hamburger","hamburger","ham-bur-ger","Essen, Kochen & Restaurant","","Einen Hamburger ohne Salat, bitte.","A hamburger without lettuce, please."
"189","hart","Adjektiv","","","hard","hart","Eigenschaften & Adjektive","weich","Ich finde das Bett zu hart. Die Brötchen sind ja ganz hart.","I find the bed too hard. The rolls are quite hard."
"190","der Haushalt","Nomen","der","die Haushalte","household / housework","hows-hahlt","Wohnen, Haus & Haushalt","","Wer macht bei euch den Haushalt? - Meine Frau und ich machen den Haushalt zusammen: Ich wasche die Wäsche und sie putzt und räumt auf.","Who does the housework at your place? - My wife and I do the housework together: I wash the laundry and she cleans and tidies up."
"191","das Heft","Nomen","das","die Hefte","notebook / exercise book","heft","Ausbildung, Schule & Studium","das Buch","Hast du dein Heft dabei?","Do you have your notebook with you?"
"192","die Heizung","Nomen","die","die Heizungen","heating / heater","high-tsoong","Wohnen, Haus & Haushalt","","Es ist kalt. Ist die Heizung kaputt?","It is cold. Is the heater broken?"
"193","heiß","Adjektiv","","","hot","hice","Eigenschaften & Adjektive","kalt","Vorsicht, der Tee ist heiß! Mir ist heiß. Kannst du das Fenster öffnen?","Careful, the tea is hot! I am hot. Can you open the window?"
"194","das Hemd","Nomen","das","die Hemden","shirt","hemt","Einkaufen, Geld & Konsum","","Nick trägt heute ein neues Hemd.","Nick is wearing a new shirt today."
"195","her / her-","Andere","","","here / towards here","hair","Basiswortschatz & Floskeln","hin","Komm bitte mal her! Herein! Die Tür ist offen. Woher kommen Sie?","Please come here! Come in! The door is open. Where do you come from?"
"196","heraus / raus","Andere","","","out / outwards","he-rows / rows","Basiswortschatz & Floskeln","herein / rein","Möchtet ihr nicht rauskommen? Das Wetter ist so schön. Kannst du bitte den Müll rausbringen?","Don't you want to come out? The weather is so beautiful. Can you please take out the trash?"
"197","herein / rein","Andere","","","come in / in","her-ine / rine","Basiswortschatz & Floskeln","heraus / raus","Herein! Die Tür ist offen. Möchtest du nicht reinkommen? Ich kann uns einen Tee machen.","Come in! The door is open. Don't you want to come in? I can make us a tea."
"198","herstellen","Verb","","","to produce / to manufacture","hair-shtel-len","Arbeit, Beruf & Karriere","","In unserer Firma stellen wir Möbel her.","In our company we manufacture furniture."
"199","herunterladen","Verb","","","to download","he-roon-ter-lah-den","Kommunikation, Medien & Sprache","hochladen","Er lädt die Musik aus dem Internet herunter.","He downloads the music from the internet."
"200","herzlich","Adjektiv","","","cordial / sincere / warm","hairts-likh","Basiswortschatz & Floskeln","unfreundlich","Herzlichen Glückwunsch!","Congratulations!"
"201","der Himmel","Nomen","der","","sky / heaven","him-mel","Natur, Umwelt & Tiere","die Erde","Heute ist so tolles Wetter: Der Himmel ist blau und es gibt keine Wolken.","The weather is so great today: The sky is blue and there are no clouds."
"202","hin","Andere","","","there / towards","hin","Basiswortschatz & Floskeln","her","Wo gehst du hin?/Wohin gehst du? Wohin ist Paul gegangen? - Ich glaube dorthin. Er geht in den Garten hinaus. Wir gehen ins Haus hinein.","Where are you going? Where did Paul go? - I think there. He goes out into the garden. We go into the house."
"203","hinter","Andere","","","behind","hin-ter","Grammatik, Pronomen & Struktur","vor","Hinter dem Haus haben wir einen Garten. Fahren Sie Ihren Wagen bitte hinter das Haus. Auf den hinteren Plätzen kann man nicht sehr viel sehen.","Behind the house we have a garden. Please drive your car behind the house. You cannot see very much in the back seats."
"204","hoffen","Verb","","","to hope","hof-fen","Gefühle, Charakter & Meinung","","Ich hoffe, dass es dir gut geht.","I hope that you are doing well."
"205","hoffentlich","Andere","","","hopefully","hof-fent-likh","Gefühle, Charakter & Meinung","","Hoffentlich hat unser Zug keine Verspätung.","Hopefully our train is not late."
"206","die Homepage","Nomen","die","die Homepages","homepage / website","hohm-payj","Kommunikation, Medien & Sprache","","Auf der Homepage von Freiburg gibt es alle wichtigen Informationen über die Stadt. Kennst du eine Homepage mit Deutschübungen?","On the homepage of Freiburg there is all the important information about the city. Do you know a homepage with German exercises?"
"207","die Hose","Nomen","die","die Hosen","trousers / pants","ho-zeh","Einkaufen, Geld & Konsum","","Kann ich die Hose waschen?","Can I wash the trousers?"
"208","husten","Verb","","","to cough","hoos-ten","Gesundheit, Körper & Pflege","","Sie hustet seit zwei Tagen. Sie ist krank.","She has been coughing for two days. She is sick."
"209","hängen","Verb","","","to hang","heng-en","Wohnen, Haus & Haushalt","liegen / stehen","Im Museum hängen moderne Bilder. Warum hast du das Bild noch nicht an die Wand gehängt? Das Bild von meiner Tochter hat im Wohnzimmer gehangen.","Modern pictures are hanging in the museum. Why haven't you hung the picture on the wall yet? The picture of my daughter hung in the living room."
"210","hässlich","Adjektiv","","","ugly","hes-likh","Eigenschaften & Adjektive","schön","Ich finde das Kleid hässlich. Es gefällt mir nicht.","I find the dress ugly. I do not like it."
"211","die Idee","Nomen","die","die Ideen","idea","ee-dey","Basiswortschatz & Floskeln","","Was machen wir heute Abend? Hast du eine gute Idee?","What are we doing tonight? Do you have a good idea?"
"212","informieren","Verb","","","to inform (oneself) (about)","in-for-mee-ren","Kommunikation, Medien & Sprache","","Ich möchte mich vor der Reise über das Land informieren. Hast du dich über die Prüfung informiert?","I would like to inform myself about the country before the trip. Have you informed yourself about the exam?"
"213","die Infotafel","Nomen","die","die Infotafeln","board (e.g. information board)","in-fo-tah-fel","Reise, Verkehr & Mobilität","","Der Lehrer schreibt das neue Wort an die Tafel. Am Eingang gibt es Tafeln mit Informationen. Die Infotafel ist am Eingang.","The teacher writes the new word on the board. At the entrance there are boards with information. The information board is at the entrance."
"214","die Insel","Nomen","die","die Inseln","island","in-zel","Natur, Umwelt & Tiere","das Festland","Ich möchte im Sommer auf einer Insel Urlaub machen. Rügen ist die größte deutsche Insel.","I would like to go on vacation on an island in the summer. Rügen is the largest German island."
"215","das Instrument","Nomen","das","die Instrumente","instrument","in-stroo-ment","Freizeit, Hobbys & Unterhaltung","","Ich spiele Klavier. Spielen Sie auch ein Instrument?","I play the piano. Do you also play an instrument?"
"216","intelligent","Adjektiv","","","intelligent / smart","in-tel-li-gent","Eigenschaften & Adjektive","dumm","Einstein war sehr intelligent.","Einstein was very intelligent."
"217","interessant","Adjektiv","","","interesting","in-te-res-sahnt","Eigenschaften & Adjektive","langweilig","Den Artikel über Brasilien finde ich sehr interessant. Ich lese gerade ein interessantes Buch.","I find the article about Brazil very interesting. I am currently reading an interesting book."
"218","das Interesse","Nomen","das","die Interessen","interest","in-te-res-seh","Freizeit, Hobbys & Unterhaltung","das Desinteresse","Ich habe viele Interessen: Sport, Lesen, Kultur, Reisen.","I have many interests: sports, reading, culture, traveling."
"219","interessiert","Adjektiv","","","interested","in-te-res-seert","Gefühle, Charakter & Meinung","desinteressiert","Mein Nachbar zieht nächsten Monat aus. Sind Sie noch an der Wohnung interessiert?","My neighbor is moving out next month. Are you still interested in the apartment?"
"220","das Interview","Nomen","das","die Interviews","interview","in-ter-vyoo","Kommunikation, Medien & Sprache","","Komm schnell! Im Radio kommt ein Interview mit deinem Lieblingssänger.","Come quickly! An interview with your favorite singer is coming on the radio."
"221","die Jeans","Nomen","die","die Jeans","jeans","jeens","Einkaufen, Geld & Konsum","der Rock","Ich mag Jeans lieber als Röcke.","I like jeans better than skirts."
"222","jeder","Andere","","","every / each","yey-der","Grammatik, Pronomen & Struktur","niemand","Das Restaurant hat jeden Tag geöffnet. Jedes Kind bekommt einen Ball.","The restaurant is open every day. Every child gets a ball."
"223","jemand","Andere","","","someone / somebody","yey-mahnt","Grammatik, Pronomen & Struktur","niemand","Hat jemand meinen Stift? Hallo, ist jemand da?","Does someone have my pen? Hello, is somebody there?"
"224","joggen","Verb","","","to jog","jog-gen","Freizeit, Hobbys & Unterhaltung","","Ich jogge gern im Park.","I like to jog in the park."
"225","die Jugendherberge","Nomen","die","die Jugendherbergen","youth hostel","yoo-gent-hair-bair-geh","Reise, Verkehr & Mobilität","das Hotel","Wir übernachten in einer Jugendherberge.","We are staying overnight in a youth hostel."
"226","der Kalender","Nomen","der","die Kalender","calendar","kah-len-der","Uhrzeit, Datum & Kalender","","Haben Sie am Montag Zeit? - Einen Moment, ich schaue in meinem Kalender. Ich schreibe alle Termine in meinen Kalender.","Do you have time on Monday? - Just a moment, I will look in my calendar. I write all appointments in my calendar."
"227","kalt","Adjektiv","","","cold","kahlt","Eigenschaften & Adjektive","heiß / warm","Heute ist es sehr kalt. Der Kaffee ist kalt. Ich möchte ihn nicht mehr trinken. Mir ist kalt.","Today it is very cold. The coffee is cold. I don't want to drink it anymore. I am cold."
"228","die Kamera","Nomen","die","die Kameras","camera","kah-meh-rah","Kommunikation, Medien & Sprache","","Hannes hat eine neue Kamera. Er kann mit der Kamera Fotos und Filme machen.","Hannes has a new camera. He can take photos and movies with the camera."
"229","die Katze","Nomen","die","die Katzen","cat","kaht-seh","Natur, Umwelt & Tiere","der Hund","Meine Tochter wünscht sich eine Katze.","My daughter wants a cat."
"230","das Kaufhaus","Nomen","das","die Kaufhäuser","department store","kowf-hows","Einkaufen, Geld & Konsum","","Meine Pullover kaufe ich immer im Kaufhaus Hertie.","I always buy my sweaters in the Hertie department store."
"231","der Keller","Nomen","der","die Keller","basement / cellar","kel-ler","Wohnen, Haus & Haushalt","der Dachboden","Bitte bring die Kartoffeln in den Keller! Die Waschmaschinen sind im Keller.","Please take the potatoes to the cellar! The washing machines are in the basement."
"232","die Kette","Nomen","die","die Ketten","chain / necklace","ket-teh","Einkaufen, Geld & Konsum","","Meine Mutter bekommt eine schöne Kette zum Geburtstag.","My mother is getting a beautiful necklace for her birthday."
"233","die Kirche","Nomen","die","die Kirchen","church","keer-kheh","Basiswortschatz & Floskeln","","Diese Kirche ist fast 800 Jahre alt.","This church is almost 800 years old."
"234","klappen","Verb","","","to work out / to go smoothly","klahp-pen","Allgemeine Aktivitäten & Verben","schiefgehen","Können wir uns heute Mittag treffen? – Ja, das klappt. Wie war die Reise? - Gut, es hat alles super geklappt.","Can we meet at noon today? - Yes, that works. How was the trip? - Good, everything worked out great."
"235","klar","Andere","","","clear / of course","klahr","Basiswortschatz & Floskeln","unklar","Kommst du mit? - Klar! Ich komme morgen zu deiner Party, das ist doch klar.","Are you coming along? - Sure! I am coming to your party tomorrow, that is of course."
"236","das Klavier","Nomen","das","die Klaviere","piano","klah-veer","Freizeit, Hobbys & Unterhaltung","","Jakob kann sehr gut Klavier spielen.","Jakob can play the piano very well."
"237","das Kleid","Nomen","das","die Kleider","dress","klite","Einkaufen, Geld & Konsum","","Julia möchte ein rotes Kleid kaufen.","Julia wants to buy a red dress."
"238","der Klub","Nomen","der","die Klubs","club","kloob","Freizeit, Hobbys & Unterhaltung","","Gibt es hier einen Tennis-Club/Klub? Ich möchte gern tanzen gehen. Wo gibt es hier einen Club/Klub mit guter Musik?","Is there a tennis club here? I would like to go dancing. Where is a club with good music here?"
"239","klug","Adjektiv","","","smart / clever","kloog","Eigenschaften & Adjektive","dumm","Molly ist ein kluges Mädchen. Lisa ist sehr klug. Sie bekommt immer gute Noten. Das ist klug von dir.","Molly is a smart girl. Lisa is very smart. She always gets good grades. That is smart of you."
"240","die Kollegin","Nomen","die","die Kolleginnen","colleague (female)","ko-lay-gin","Arbeit, Beruf & Karriere","","Wie heißt die neue Kollegin?","What is the new colleague's name?"
"241","komisch","Adjektiv","","","funny / strange / weird","ko-mish","Eigenschaften & Adjektive","normal / ernst","Der Film war sehr komisch. Wir haben viel gelacht. Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus. Das Essen schmeckt komisch. Probier mal!","The film was very funny. We laughed a lot. Green trousers and yellow shoes? That looks weird. The food tastes strange. Try it!"
"242","der Kontakt","Nomen","der","die Kontakte","contact","kon-takt","Kommunikation, Medien & Sprache","","Ich habe wenig Kontakt zu meinen Kollegen. Bitte schicken Sie mir Ihre Kontaktdaten!","I have little contact with my colleagues. Please send me your contact details!"
"243","kontrollieren","Verb","","","to control / to check","kon-trol-lee-ren","Allgemeine Aktivitäten & Verben","","Können Sie bei meinem Auto bitte das Öl kontrollieren? Bitte öffnen Sie Ihren Koffer, wir müssen Ihr Gepäck kontrollieren.","Can you please check the oil in my car? Please open your suitcase, we have to check your luggage."
"244","das Konzert","Nomen","das","die Konzerte","concert","kon-tsert","Freizeit, Hobbys & Unterhaltung","","Für das Konzert am Sonntag gibt es noch Karten.","There are still tickets for the concert on Sunday."
"245","die Kosmetik","Nomen","die","","cosmetics","kos-mey-tik","Gesundheit, Körper & Pflege","","Kosmetik können Sie im Erdgeschoss kaufen.","You can buy cosmetics on the ground floor."
"246","kostenlos","Adjektiv","","","free / free of charge","kos-ten-lohs","Einkaufen, Geld & Konsum","teuer / kostenpflichtig","Diese Zeitschrift kostet nichts. Sie ist kostenlos.","This magazine costs nothing. It is free."
"247","das Krankenhaus","Nomen","das","die Krankenhäuser","hospital","krahnk-en-hows","Gesundheit, Körper & Pflege","","Er hat sich verletzt und muss ins Krankenhaus.","He injured himself and has to go to the hospital."
"248","die Krankenkasse","Nomen","die","die Krankenkassen","health insurance (company) / health fund","krahnk-en-kahs-seh","Gesundheit, Körper & Pflege","","Bei welcher Krankenkasse sind Sie?","Which health insurance company are you with?"
"249","die Krankheit","Nomen","die","die Krankheiten","illness / disease","krahnk-hite","Gesundheit, Körper & Pflege","die Gesundheit","Welche Krankheit hat Herr Brandner?","What illness does Mr. Brandner have?"
"250","der Kredit","Nomen","der","die Kredite","credit / loan","kre-deet","Einkaufen, Geld & Konsum","","Ich brauche einen Kredit von der Bank. Bezahlen Sie mit Kreditkarte?","I need a loan from the bank. Are you paying by credit card?"
"251","die Kreuzung","Nomen","die","die Kreuzungen","intersection / crossroads","kroy-tsoong","Reise, Verkehr & Mobilität","","Fahren Sie an der nächsten Kreuzung rechts.","Turn right at the next intersection."
"252","der Krimi","Nomen","der","die Krimis","thriller / crime novel / crime film","kri-mee","Freizeit, Hobbys & Unterhaltung","","Miriam liest gern spannende Krimis. Schauen wir am Sonntag zusammen den Tatort? - Nein, ich mag keine Krimis.","Miriam likes to read exciting crime novels. Shall we watch Tatort together on Sunday? - No, I don't like crime thrillers."
"253","die Kultur","Nomen","die","die Kulturen","culture","kool-toor","Freizeit, Hobbys & Unterhaltung","","Ich finde fremde Länder und Kulturen sehr interessant. Jana interessiert sich sehr für Kultur. Sie geht jede Woche ins Theater oder ins Museum.","I find foreign countries and cultures very interesting. Jana is very interested in culture. She goes to the theater or museum every week."
"254","die Kundin","Nomen","die","die Kundinnen","customer (female)","koon-din","Einkaufen, Geld & Konsum","die Verkäuferin","Einen Moment, bitte. Ich habe eine Kundin.","One moment, please. I have a customer."
"255","die Kunst","Nomen","die","die Künste","art","koonst","Freizeit, Hobbys & Unterhaltung","","Ich verstehe nichts von moderner Kunst. Kunst war mein Lieblingsfach in der Schule.","I understand nothing about modern art. Art was my favorite subject in school."
"256","der Käse","Nomen","der","","cheese","kay-zeh","Essen, Kochen & Restaurant","die Wurst","Isst du lieber Käse oder Wurst?","Do you prefer to eat cheese or sausage?"
"257","der Körper","Nomen","der","die Körper","body","koer-per","Gesundheit, Körper & Pflege","","Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.","The doctor says I have to do something for my body, e.g. swimming or riding a bicycle."
